environment,real_time,size,position,factor
clingo,0.03599996566772461,10000,1,
duckdb,0.03866448299377225,10000,2,107.40144407536614
duckdb,0.09050073319813237,20000,3,234.06683910065334
clingo,0.09999995231628418,20000,4,110.49628967906288
duckdb,0.15956483379704878,30000,5,159.56490988352695
clingo,0.18400006294250487,30000,6,115.31366815857145
duckdb,0.24890505019575357,40000,7,135.27443752751856
clingo,0.28399996757507323,40000,8,114.09972089827787
duckdb,0.36210282521205955,50000,9,127.50100935005932
postgres,0.3696926998003619,10000,10,102.09605505945927
clingo,0.37399997711181643,50000,11,101.16509666373734
xsb,0.37616901397705077,10000,12,100.57995641657106
mariadb,0.4330868916003965,10000,13,115.13093197698048
duckdb,0.4391932915954385,60000,14,101.4099710966723
souffle,0.47622620000000004,10000,15,108.43202961275517
clingo,0.48000001907348633,60000,16,100.79244255639155
cockroachdb,0.5018828085914719,10000,17,104.5589143017587
duckdb,0.5115045749989804,70000,18,101.91713408843626
clingo,0.6239999771118164,70000,19,121.99303928279825
clingo,0.7599999904632568,80000,20,121.79487473395693
duckdb,0.7746265752008185,80000,21,101.92455064751329
duckdb,0.7926081831974443,90000,22,102.32132598755268
clingo,0.884000015258789,90000,23,111.53051835683337
duckdb,0.9403714418003801,100000,24,106.37685809599094
postgres,0.9628316668007756,20000,25,102.38844184351179
clingo,1.0079999923706056,100000,26,104.69119651204575
cockroachdb,1.0658769666042645,20000,27,105.74176336028975
xsb,1.1790989875793438,20000,28,110.62242871574466
souffle,1.2829899999999999,20000,29,108.81105093932287
postgres,2.1307741417957002,30000,30,166.07878017721887
souffle,2.287794,30000,31,107.36914603590844
xsb,2.340582418441774,30000,32,102.30739386683302
postgres,3.290180841399706,40000,33,140.5710311876187
souffle,3.4521440000000005,40000,34,104.9226217769657
cockroachdb,3.6177350252110045,30000,35,104.79675891883433
xsb,3.975306177139282,40000,36,109.88384028781716
souffle,4.7661500000000006,50000,37,119.89390974231391
postgres,5.348540899995714,50000,38,112.2193153802485
xsb,5.837349224090575,50000,39,109.13909668513992
souffle,6.1186039999999995,60000,40,104.81819341472143
neo4j,6.247337825008435,10000,41,102.10397379873638
mariadb,6.455963975004852,20000,42,103.33944082808
postgres,6.467636325195781,60000,43,100.18079949386522
souffle,7.594612000000001,70000,44,117.42484608192785
postgres,7.622314858197933,70000,45,100.36476989473502
xsb,8.246674633026123,60000,46,108.1912094480941
souffle,9.168114,80000,47,111.17346576623399
postgres,9.551420533598867,80000,48,104.18086570039233
souffle,10.887179999999999,90000,49,113.984929903383
xsb,11.282788610458379,70000,50,103.63371057021541
postgres,11.328710174799198,90000,51,100.407005448088
souffle,12.640179999999999,100000,52,111.57651493387284
postgres,12.711272175004705,100000,53,100.56243008410249
cockroachdb,13.017992300208425,40000,54,102.41297740289797
xsb,13.78496804237364,80000,55,105.89165920886998
mariadb,15.335045500204433,30000,56,111.2446938800729
neo4j,15.88811904139584,20000,57,103.60659863176822
xsb,17.5987349510193,90000,58,110.76663578090347
xsb,20.82140460014342,100000,59,118.31193922798109
cockroachdb,22.941288507997523,50000,60,110.18127234240241
mariadb,26.571699250000528,40000,61,115.82479005369473
neo4j,27.31034334981232,30000,62,102.77981506889056
cockroachdb,34.72547685860191,60000,63,127.15137416549742
neo4j,40.75083156639594,40000,64,117.35139515096817
cockroachdb,44.8325975334039,70000,65,110.01639919999542
mariadb,45.79111665839446,50000,66,102.13799596214872
neo4j,56.11936805819278,50000,67,122.55514203081776
cockroachdb,57.40233388320193,80000,68,102.28613733440261
mariadb,61.222852957999564,60000,69,106.65568595620405
cockroachdb,71.06332075020183,90000,70,116.07319377774354
neo4j,72.21864808339743,60000,71,101.62577166532472
mariadb,77.3145084830001,70000,72,107.056155902722
cockroachdb,85.56770302520017,100000,73,110.6748328407401
neo4j,87.18280182500602,70000,74,101.88750982287114
mariadb,95.29771490839775,80000,75,109.30792875833475
neo4j,103.39095494980575,80000,76,108.4925856293484
mariadb,113.65881505840225,90000,77,109.9311009493832
neo4j,122.74047573319986,90000,78,107.99028273357514
neo4j,140.54503775819322,100000,79,114.50586036809489
mariadb,152.4224704750057,100000,80,108.45097977578371
