environment,real_time,size,position,factor
clingo,0.04000000953674317,10000,1,
duckdb,0.04478681679465808,10000,2,111.96701529162851
xsb,0.08814764022827148,10000,3,196.81604216798289
clingo,0.10000004768371581,20000,4,113.44608593576726
duckdb,0.13008752519381234,20000,5,130.08746316327608
clingo,0.1820000648498535,30000,6,139.90585536829815
duckdb,0.22329663319978862,30000,7,122.69041408529387
xsb,0.2318932056427002,20000,8,103.84984418247811
clingo,0.2800000190734863,40000,9,120.7452449059283
duckdb,0.29736519159050656,40000,10,106.20184690503993
clingo,0.37799997329711915,50000,11,127.11641576989028
postgres,0.39111876639944965,10000,12,103.47058043097235
xsb,0.3920791149139404,30000,13,100.24553884829702
duckdb,0.41651020021527074,50000,14,106.23116212315796
souffle,0.44519260000000005,10000,15,106.88636191140218
clingo,0.48000001907348633,60000,16,107.81850800608237
duckdb,0.4979003835935146,60000,17,103.72924246015242
cockroachdb,0.5358188249985687,10000,18,107.61566824499793
mariadb,0.5741491833992768,10000,19,107.15360428047866
xsb,0.5814313888549804,40000,20,101.26834726343925
duckdb,0.6116245417972095,70000,21,105.19290040424009
clingo,0.621999979019165,70000,22,101.69637359407918
clingo,0.7519999980926514,80000,23,120.90032531487928
xsb,0.7918550014495848,50000,24,105.29986748111972
duckdb,0.8684519166010432,80000,25,109.67309861164463
clingo,0.8859999179840088,90000,26,102.02060713408811
postgres,0.9261966082034633,20000,27,104.53687290523881
duckdb,0.9375433083914686,90000,28,101.22508548266167
xsb,1.0115260124206533,60000,29,107.89112389443811
clingo,1.0179999828338624,100000,30,100.6400201609958
duckdb,1.0546253170003184,100000,31,103.59777355442581
souffle,1.132352,20000,32,107.37007558483049
cockroachdb,1.1447543334041257,20000,33,101.09527191227865
xsb,1.4106314182281479,70000,34,123.22568930867381
xsb,1.581039810180664,80000,35,112.08029182892871
xsb,1.775167894363402,90000,36,112.27850702636988
postgres,1.8729341169993858,30000,37,105.50743526549888
souffle,1.971,30000,38,105.23594941811008
xsb,2.0628469467163084,100000,39,104.65991611954888
souffle,2.9005400000000003,40000,40,140.6085897267925
postgres,2.939784600000712,40000,41,101.3530101291729
souffle,3.9221740000000005,50000,42,133.41705375281748
postgres,4.795168466400355,50000,43,122.25792293764515
souffle,5.012584,60000,44,104.5340541239181
souffle,6.154762,70000,45,122.78621166248784
cockroachdb,6.2991887670010325,30000,46,102.34658573314503
postgres,6.583578549799858,60000,47,104.51470488213708
souffle,7.404458,80000,48,112.46859050880613
postgres,7.709162241400918,70000,49,104.1151457865102
souffle,8.66779,90000,50,112.43491482707309
postgres,9.63565217499854,80000,51,111.16619317032992
souffle,10.013828,100000,52,103.92475587675017
mariadb,10.585780291596894,20000,53,105.71162488108337
postgres,11.450163291601347,90000,54,108.16551048854292
postgres,13.223055425001075,100000,55,115.48355327561256
cockroachdb,22.68958919159486,40000,56,171.5911221902257
mariadb,22.72276085820631,30000,57,100.14619773999142
mariadb,37.39807002500165,40000,58,164.58418173025555
cockroachdb,41.09270075819804,50000,59,109.87920160245281
mariadb,53.82204637499526,50000,60,130.97714528840672
cockroachdb,60.755897675198504,60000,61,112.88292022918063
mariadb,70.47397041660733,60000,62,115.99527471943829
cockroachdb,77.67304444180336,70000,63,110.21522412124456
mariadb,89.30543274999945,70000,64,114.97609420590136
cockroachdb,96.58889621699345,80000,65,108.15567792766116
mariadb,106.9945525999996,80000,66,110.77313934681388
cockroachdb,116.76900787499616,90000,67,109.1354700192434
mariadb,126.94879080819665,90000,68,108.71788081311624
cockroachdb,150.31805967479596,100000,69,118.40842178789026
mariadb,158.79020083319628,100000,70,105.63614323969408
