environment,cpu_time,size,position,factor
postgres,2.9800000000002046e-05,100,1,
postgres,3.0800000000008596e-05,1000,2,103.35570469800832
postgres,3.08000000000197e-05,700,3,100.00000000003607
postgres,3.19999999999987e-05,600,4,103.89610389603321
mariadb,3.220000000000445e-05,200,5,100.62500000001799
postgres,3.2599999999993745e-05,500,6,101.2422360248113
postgres,3.2600000000004845e-05,800,7,100.00000000003403
postgres,3.3600000000000295e-05,300,8,103.06748466256228
mariadb,3.3799999999994947e-05,500,9,100.59523809522217
postgres,3.500000000000725e-05,400,10,103.5502958580251
mariadb,3.5599999999991196e-05,400,11,101.71428571423951
postgres,3.5600000000002295e-05,900,12,100.00000000003118
mariadb,3.5800000000008046e-05,100,13,100.5617977528251
mariadb,3.699999999998704e-05,900,14,103.35195530720314
xsb,3.879999999999994e-05,100,15,104.86486486490143
mariadb,4.119999999999679e-05,300,16,106.18556701030117
mariadb,4.2199999999981144e-05,700,17,102.42718446598163
mariadb,4.579999999999584e-05,1000,18,108.53080568724242
postgres,4.6199999999996244e-05,200,19,100.87336244541581
mariadb,5.84000000000029e-05,600,20,126.40692640694296
mariadb,5.919999999999259e-05,800,21,101.36986301368091
xsb,7.680000000000015e-05,200,22,129.72972972974623
cockroachdb,0.00011299999999998533,700,23,147.1354166666473
cockroachdb,0.0001388000000000056,300,24,122.83185840710054
cockroachdb,0.00013999999999999568,500,25,100.86455331411386
cockroachdb,0.00014879999999999337,900,26,106.28571428571283
cockroachdb,0.0001500000000000168,1000,27,100.806451612919
cockroachdb,0.00015619999999999523,800,28,104.13333333331849
cockroachdb,0.00016159999999998398,100,29,103.45710627400058
cockroachdb,0.00016300000000000204,400,30,100.86633663367463
cockroachdb,0.00016660000000000562,600,31,102.20858895705737
xsb,0.00017100000000000063,500,32,102.64105642256594
xsb,0.0001714,300,33,100.23391812865458
cockroachdb,0.00017300000000000093,200,34,100.93348891481968
xsb,0.00017539999999999998,400,35,101.38728323699367
xsb,0.00039919999999999957,600,36,227.59407069555283
xsb,0.0004037999999999996,700,37,101.15230460921845
xsb,0.0004041999999999998,1000,38,100.09905894006938
xsb,0.00040539999999999945,800,39,100.29688273132105
xsb,0.00040600000000000065,900,40,100.14800197335994
duckdb,0.002172800000000008,100,41,535.1724137931046
duckdb,0.0023734000000000034,200,42,109.23232695139886
duckdb,0.00296860000000001,500,43,125.07794724867303
duckdb,0.0029896000000000146,300,44,100.70740416357896
duckdb,0.0038000000000000035,600,45,127.10730532512659
duckdb,0.004030200000000006,800,46,106.05789473684217
duckdb,0.004180399999999996,700,47,103.72686219046174
duckdb,0.004305999999999999,900,48,103.00449717730369
duckdb,0.0044126,400,49,102.47561542034373
duckdb,0.004573799999999994,1000,50,103.65317499886675
