environment,real_time,size,position,factor
clingo,0.0,600,1,
clingo,0.0,900,2,
clingo,0.0,800,3,
clingo,0.0,200,4,
clingo,0.0,1000,5,
clingo,0.0,100,6,
clingo,0.0,500,7,
clingo,0.0,700,8,
xsb,4.239082336425782e-05,100,9,inf
xsb,8.134841918945311e-05,200,10,191.90101237345323
xsb,0.0001771926879882814,500,11,217.81946072684667
xsb,0.00017943382263183597,400,12,101.26480086114094
xsb,0.0001797676086425782,300,13,100.18602179112412
xsb,0.0004211902618408204,900,14,234.29708222811664
xsb,0.00042138099670410164,1000,15,100.04528472772559
xsb,0.000422811508178711,700,16,100.33948172456716
xsb,0.0004265308380126954,600,17,100.87966617796324
xsb,0.00043148994445800775,800,18,101.16266070430405
souffle,0.0005550916000000001,100,19,128.64531540758097
souffle,0.0013293078,200,20,239.47539469161484
duckdb,0.0014205249957740308,100,21,106.86200711182398
duckdb,0.0015974414069205522,200,22,112.45429764860431
duckdb,0.0018763420055620372,500,23,117.4592067936396
duckdb,0.0019815083942376077,300,24,105.60486245917993
clingo,0.0019999980926513673,300,25,100.93311229301523
clingo,0.0019999980926513673,400,26,100.0
duckdb,0.0022514919866807757,800,27,112.57470669364523
duckdb,0.002287083410192281,700,28,101.58079281303485
duckdb,0.0023618334089405835,400,29,103.26835472703719
duckdb,0.0023988916189409794,900,30,101.56904419507804
duckdb,0.0024914163979701696,600,31,103.8569803778812
duckdb,0.0027402332285419106,1000,32,109.98696286877052
souffle,0.0029114559999999998,300,33,106.24847438804315
souffle,0.003187668,500,34,109.48707450842466
souffle,0.0031974920000000006,400,35,100.30818767826513
postgres,0.003685141820460558,100,36,115.25100986837676
postgres,0.003952916606795043,200,37,107.26633598869255
postgres,0.0055555666098371145,300,38,140.54348124337167
postgres,0.0056538416189141575,500,39,101.76894664358859
postgres,0.006374391203280538,400,40,112.74442463962697
souffle,0.006571059999999999,900,41,103.08529537092494
souffle,0.006616950000000001,600,42,100.69836525613832
souffle,0.006734184,1000,43,101.77172262144944
souffle,0.006807718,700,44,101.09195115547777
souffle,0.006886642000000001,800,45,101.15933121789125
postgres,0.008381183398887515,700,46,121.70203415376484
postgres,0.008981741615571082,800,47,107.16555393315079
postgres,0.009121950215194375,1000,48,101.56104022609848
postgres,0.009377349785063415,900,49,102.7998351651122
postgres,0.00999727500602603,600,50,106.61087871490145
neo4j,0.014265608199639245,100,51,142.69496628871772
neo4j,0.0169839836016763,200,52,119.0554469462143
mariadb,0.025599542004056276,100,53,150.72754781469305
mariadb,0.03127350837457925,200,54,122.1643276650181
neo4j,0.031867524806875734,500,55,101.89942370770058
neo4j,0.03323529180488549,300,56,104.29204027077323
neo4j,0.034754000004613775,400,57,104.56956481274233
mariadb,0.03753488319925964,500,58,108.00162051642023
mariadb,0.03837175841908902,400,59,102.22959324366802
mariadb,0.03989354979712516,300,60,103.96591514367266
mariadb,0.05244837482459843,600,61,131.47081443320948
mariadb,0.053146225214004514,1000,62,101.33054721283526
mariadb,0.05403109162580222,700,63,101.66496568332859
mariadb,0.05441190856508911,800,64,100.70481074475465
mariadb,0.05446565840393305,900,65,100.0987832264322
neo4j,0.06037506679422222,800,66,110.84978785432702
neo4j,0.061973733396735044,600,67,102.64789206438742
neo4j,0.06280963320750743,1000,68,101.3487969256608
neo4j,0.06306391639518552,700,69,100.40484743293756
neo4j,0.06315081680077128,900,70,100.13779734997937
cockroachdb,0.22613661659415812,100,71,358.0897731023429
cockroachdb,0.22630664161406458,500,72,100.07518685937164
cockroachdb,0.22842804981628434,600,73,100.9374043055429
cockroachdb,0.23132481639040633,900,74,101.26813085190358
cockroachdb,0.23710689999861642,300,75,102.49955179839057
cockroachdb,0.23754560000961647,700,76,100.18502203478793
cockroachdb,0.23819571681087837,1000,77,100.27368084327202
cockroachdb,0.2399675913969986,400,78,100.74387340370485
cockroachdb,0.24223401658236982,800,79,100.94447136472762
cockroachdb,0.2557331163901836,200,80,105.57275150627885
