environment,real_time,size,position,factor
xsb,5.948543548583985e-05,50,1,
xsb,0.0001039505004882815,100,2,174.7494989979964
xsb,0.0002410411834716795,250,3,231.8807339449534
xsb,0.0002651214599609375,150,4,109.99010880316527
xsb,0.00029098987579345703,200,5,109.7571942446043
xsb,0.0005030632019042971,350,6,172.87996722654657
xsb,0.000532984733581543,400,7,105.94786729857815
xsb,0.0005420446395874026,300,8,101.6998434354731
neo4j,0.0017051884999546019,350,9,314.5845148939337
neo4j,0.0017399495000063325,200,10,102.03854295596389
neo4j,0.0017681244999039336,300,11,101.61929986459369
neo4j,0.0018572495000626077,100,12,105.04065184117502
neo4j,0.0019127139999000065,250,13,102.98637850410131
postgres,0.003986693499996363,50,14,208.4312396001065
postgres,0.004583750000051623,100,15,114.9762328118729
neo4j,0.004831399500062616,400,16,105.40277065739197
postgres,0.005019237999931647,200,17,103.88786934027286
postgres,0.005294438500072829,250,18,105.4829139432107
postgres,0.005484213000045202,150,19,103.58441220858003
postgres,0.006182120999937979,300,20,112.72576393161653
postgres,0.006474315999867031,400,21,104.72645229577331
postgres,0.0066138120000687195,350,22,102.15460598779167
duckdb,0.009698809999918012,200,23,146.64477913519826
duckdb,0.010993554000151562,50,24,113.34951401506468
duckdb,0.01164709849990686,250,25,105.94479728526633
duckdb,0.011807438999994702,300,26,101.37665616968144
duckdb,0.012599734500099657,400,27,106.71013841448016
duckdb,0.01273642999990443,150,28,101.08490777963371
duckdb,0.013215952500104322,350,29,103.76496789291419
duckdb,0.015372746500133871,100,30,116.31962584620763
neo4j,0.017529791999777444,50,31,114.03162082731792
mariadb,0.01976379300026565,50,32,112.74402457551447
mariadb,0.020136158500008605,100,33,101.88407913267432
neo4j,0.020174619500039626,150,34,100.19100465479056
mariadb,0.025796606000085376,250,35,127.86662965333599
mariadb,0.026396388999728515,200,36,102.32504616941141
mariadb,0.026529698000103963,150,37,100.5050274125632
mariadb,0.03898317350012803,350,38,146.941640647305
mariadb,0.04005659049994392,300,39,102.75353929256777
mariadb,0.04757868349997807,400,40,118.77866514885905
cockroachdb,0.21648678100018515,250,41,455.0079259765246
cockroachdb,0.2575609654998061,300,42,118.97306815217776
cockroachdb,0.26158054899997296,50,43,101.56063380658892
cockroachdb,0.2720136855000419,200,44,103.98849858674699
cockroachdb,0.2730316324998512,350,45,100.37422639156482
cockroachdb,0.28192247550009597,100,46,103.25634173551288
cockroachdb,0.29045313999995415,400,47,103.02589017946364
cockroachdb,0.36821572600001673,150,48,126.77285086333544
