environment,cpu_time,size,position,factor
clingo,0.0,1000,1,
clingo,0.0,500,2,
clingo,0.0,700,3,
clingo,0.0,300,4,
clingo,0.0,100,5,
clingo,0.0,600,6,
clingo,0.0,900,7,
clingo,0.0,800,8,
clingo,0.0,200,9,
clingo,0.0,400,10,
postgres,2.8200000000011548e-05,100,11,inf
postgres,3.0000000000007797e-05,200,12,106.38297872338833
postgres,3.0600000000002844e-05,700,13,101.99999999998298
mariadb,3.100000000001435e-05,300,14,101.30718954252114
mariadb,3.1200000000009e-05,700,15,100.64516129030503
postgres,3.420000000001755e-05,500,16,109.61538461540925
postgres,3.660000000001995e-05,400,17,107.01754385965255
postgres,3.699999999999815e-05,800,18,101.09289617480322
postgres,3.719999999999279e-05,900,19,100.54054054052611
postgres,3.779999999998784e-05,600,20,101.61290322579346
mariadb,3.80000000000047e-05,400,21,100.5291005291453
postgres,3.859999999997754e-05,1000,22,101.57894736834938
mariadb,3.8600000000010845e-05,100,23,100.00000000008629
postgres,3.9199999999983694e-05,300,24,101.55440414500694
mariadb,4.08000000000075e-05,200,25,104.08163265312365
mariadb,4.3199999999998794e-05,500,26,105.88235294115407
mariadb,4.48000000000004e-05,600,27,103.70370370370752
xsb,4.520000000000044e-05,100,28,100.89285714285722
mariadb,4.5200000000000794e-05,1000,29,100.00000000000078
mariadb,5.379999999999274e-05,800,30,119.02654867254823
mariadb,6.380000000000274e-05,900,31,118.58736059481663
xsb,9.099999999999979e-05,200,32,142.63322884011893
cockroachdb,0.0001148000000000038,700,33,126.15384615385061
cockroachdb,0.00012499999999998623,1000,34,108.88501742158721
cockroachdb,0.0001276000000000166,200,35,102.08000000002453
cockroachdb,0.00012900000000000135,400,36,101.09717868337349
cockroachdb,0.00012919999999999598,100,37,100.15503875968577
cockroachdb,0.0001335999999999893,800,38,103.40557275541289
cockroachdb,0.00014260000000000385,600,39,106.73652694611921
cockroachdb,0.0001499999999999946,300,40,105.1893408134576
cockroachdb,0.00015279999999999737,900,41,101.86666666666859
cockroachdb,0.00016019999999999923,500,42,104.84293193717407
xsb,0.00019459999999999958,300,43,121.47315855181056
xsb,0.00019520000000000003,500,44,100.30832476875666
xsb,0.0001958000000000008,400,45,100.30737704918073
xsb,0.00042880000000000045,800,46,218.9989785495397
xsb,0.0004306,900,47,100.41977611940287
xsb,0.00043159999999999987,700,48,100.23223409196467
xsb,0.0004316000000000002,600,49,100.00000000000007
xsb,0.0004378000000000002,1000,50,101.43651529193698
souffle,0.0006000000000000001,100,51,137.0488807674737
souffle,0.0013534,200,52,225.56666666666666
duckdb,0.002124400000000004,100,53,156.96763706221398
duckdb,0.0028497999999999913,200,54,134.14611184334333
souffle,0.0030565999999999996,300,55,107.25664958944519
duckdb,0.003067399999999998,600,56,100.3533337695478
duckdb,0.0030948000000000087,500,57,100.8932646541048
duckdb,0.0031154000000000017,400,58,100.66563267416288
souffle,0.0032508000000000003,400,59,104.34615137703018
duckdb,0.003304399999999985,300,60,101.6488249046384
souffle,0.0033562,500,61,101.56760682726109
duckdb,0.0033752000000000005,700,62,100.5661164412133
duckdb,0.003639999999999988,900,63,107.84546100971757
duckdb,0.0038900000000000046,800,64,106.86813186813235
duckdb,0.00410640000000001,1000,65,105.56298200514152
souffle,0.0069154,700,66,168.40541593609936
souffle,0.0069538,600,67,100.55528241316483
souffle,0.0069852,1000,68,100.45155166959073
souffle,0.007050000000000001,800,69,100.9276756571036
souffle,0.0071676000000000005,900,70,101.66808510638296
