environment,real_time,size,position,factor
clingo,0.0,300,1,
clingo,0.0,100,2,
clingo,0.0,700,3,
clingo,0.0,900,4,
clingo,0.0,800,5,
clingo,0.0,200,6,
clingo,0.0,400,7,
clingo,0.0,1000,8,
clingo,0.0,600,9,
xsb,4.8828125e-05,100,10,inf
xsb,9.660720825195316e-05,200,11,197.85156250000006
xsb,0.00020742416381835943,300,12,214.7087857847976
xsb,0.0002081871032714842,500,13,100.36781609195391
xsb,0.00021219253540039057,400,14,101.92395785616131
xsb,0.00045919418334960965,800,15,216.40449438202265
xsb,0.0004637718200683594,700,16,100.99688473520243
xsb,0.00046687126159667975,900,17,100.66831174172324
xsb,0.000470447540283203,1000,18,100.7660096006536
xsb,0.00047144889831543003,600,19,100.21285221974468
souffle,0.0006069082,100,20,128.7325523866086
duckdb,0.0012697084108367561,100,21,209.20930230251562
souffle,0.0013560582,200,22,106.80075743582245
duckdb,0.0017105250037275255,200,23,126.13949782741815
duckdb,0.001832633197773248,500,24,107.13863835837698
duckdb,0.0019145499914884566,400,25,104.46989576608905
clingo,0.0019999980926513673,500,26,104.46309062405206
duckdb,0.00208531660027802,300,27,104.26592944963997
duckdb,0.002152416610624641,600,28,103.21773731325379
duckdb,0.002218966803047806,700,29,103.0918824959194
duckdb,0.002253816393204033,800,30,101.57053229044979
duckdb,0.002302633412182331,1000,31,102.16597142187342
duckdb,0.00236321659758687,900,32,102.63103910001554
postgres,0.003029233182314783,100,33,128.18262978552184
souffle,0.0030744419999999993,300,34,101.49241788150063
souffle,0.0032822339999999998,400,35,106.75868986957636
souffle,0.003389026,500,36,103.25363761389346
postgres,0.0038893834105692806,200,37,114.76404756320196
postgres,0.0054456915822811425,300,38,140.01426466423038
postgres,0.005595183395780623,400,39,102.74513918463337
postgres,0.006396158412098884,500,40,114.31543811275755
souffle,0.006944674,700,41,108.57570361083539
souffle,0.006987516000000001,600,42,100.6169044076079
souffle,0.007015892000000001,1000,43,100.40609567119417
souffle,0.007085142,800,44,100.987044840485
souffle,0.0072103340000000005,900,45,101.7669652915919
postgres,0.009173658408690244,700,46,127.22931293737909
postgres,0.00929359981091693,800,47,101.30745441876346
postgres,0.009769483213312924,600,48,105.12054975551008
postgres,0.009947008220478892,900,49,101.81713815654092
postgres,0.010415474779438227,1000,50,104.7096227184658
mariadb,0.024702150002121927,100,51,237.16777703583736
mariadb,0.03219291674904525,200,52,130.32435130658612
mariadb,0.039596758387051526,400,53,122.99835611579324
mariadb,0.03981525821145624,300,54,100.55181240410873
mariadb,0.041202174965292215,500,55,103.48338003101762
mariadb,0.05425605815835297,600,56,131.68250997442988
mariadb,0.05541192539967597,1000,57,102.13039295621044
mariadb,0.05558857498690486,700,58,100.31879344735768
mariadb,0.05600575858261436,900,59,100.75048442203777
mariadb,0.05684082496445626,800,60,101.4910366415448
cockroachdb,0.21067071681609378,700,61,370.6327572617578
cockroachdb,0.21794419998768716,100,62,103.45253639495743
cockroachdb,0.22382058341754602,800,63,102.69627887789208
cockroachdb,0.22486107499571517,200,64,100.46487752032532
cockroachdb,0.22572471681050957,400,65,100.38407795338115
cockroachdb,0.23229375820374115,600,66,102.91020030329517
cockroachdb,0.24092649979284034,1000,67,103.71630372501338
cockroachdb,0.24672261660452932,900,68,102.4057614320852
cockroachdb,0.24757305820239708,500,69,100.34469543553477
cockroachdb,0.25439620019169523,300,70,102.75601151386999
