environment,cpu_time,size,position,factor
mariadb,0.00010800000000000809,100,1,
mariadb,0.00015260000000000273,600,2,141.29629629628823
mariadb,0.0001592000000000038,500,3,104.32503276540035
mariadb,0.0001600000000000046,200,4,100.50251256281457
mariadb,0.00017120000000000468,300,5,106.99999999999986
mariadb,0.00017719999999998848,400,6,103.5046728971867
clingo,0.0019999999999999575,300,7,1128.6681715576115
clingo,0.0020000000000000018,100,8,100.00000000000222
clingo,0.0020000000000000018,200,9,100.0
clingo,0.010000000000000142,400,10,500.00000000000665
clingo,0.016000000000000767,500,11,160.00000000000537
clingo,0.019999999999997443,600,12,124.99999999997802
clingo,0.029999999999998295,700,13,150.00000000001066
clingo,0.04000000000000341,800,14,133.33333333335227
xsb,0.051432,100,15,128.57999999998904
clingo,0.0519999999999925,900,16,101.10437081970854
clingo,0.06399999999999864,1000,17,123.07692307693823
souffle,0.3380854,100,18,528.2584375000112
xsb,0.41585339999999993,200,19,123.0024721564433
xsb,1.380538,300,20,331.97708615584247
souffle,2.587596,200,21,187.43388447112648
xsb,3.2778774000000004,400,22,126.67655229023389
xsb,6.428278000000001,500,23,196.11099548750664
souffle,8.642992,300,24,134.45267924007018
xsb,10.795648799999999,600,25,124.90638427063219
xsb,17.166125599999997,700,26,159.0096706369329
souffle,20.57384,400,27,119.85138918009551
xsb,25.844635599999997,800,28,125.61891994882821
xsb,36.925303400000004,900,29,142.8741498680678
souffle,40.12352,500,30,108.66131434413614
xsb,50.76655519999999,1000,31,126.5256767103185
souffle,69.08986,600,32,136.09326007607467
souffle,110.1858,700,33,159.4818689746947
souffle,164.339,800,34,149.14716778387051
souffle,233.8094,900,35,142.2726194025764
souffle,321.479,1000,36,137.49618278820267
