environment,cpu_time,size,position,factor
mariadb,0.00010904999999999943,300,1,
mariadb,0.0001121500000000053,50,2,102.84273269143137
mariadb,0.0001220999999999861,350,3,108.87204636645593
mariadb,0.00012265000000000192,250,4,100.45045045046346
mariadb,0.00012314999999998855,100,5,100.4076640847832
mariadb,0.00012439999999999674,150,6,101.01502233049801
mariadb,0.00013474999999998905,400,7,108.31993569131238
postgres,0.00013699999999999823,50,8,101.6697588126229
mariadb,0.00013755000000001405,200,9,100.40145985402616
cockroachdb,0.00015039999999999498,50,10,109.34205743364566
postgres,0.0001528999999999836,200,11,101.66223404254569
postgres,0.000154200000000021,100,12,100.85022890780742
cockroachdb,0.00015465000000000617,350,13,100.29182879376468
cockroachdb,0.00015490000000001336,250,14,100.16165535079675
postgres,0.00015640000000000098,300,15,100.96836668817785
cockroachdb,0.0001577000000000106,200,16,100.83120204604195
postgres,0.00016190000000002036,250,17,102.66328471782464
postgres,0.00016559999999998798,400,18,102.2853613341366
cockroachdb,0.0001673000000000091,100,19,101.026570048322
postgres,0.0001674999999999871,350,20,100.11954572622712
postgres,0.0001699500000000298,150,21,101.46268656718978
cockroachdb,0.00018029999999999435,400,22,106.09002647835406
cockroachdb,0.00019320000000003223,150,23,107.15474209652707
cockroachdb,0.00022060000000001523,300,24,114.18219461696606
neo4j,0.0008537499999999865,150,25,387.0126926563588
neo4j,0.0008996499999999186,50,26,105.37628111273006
neo4j,0.0009131500000000292,250,27,101.50058356028589
neo4j,0.0009366499999999833,300,28,102.57350928105495
neo4j,0.000946950000000002,100,29,101.09966369508554
neo4j,0.0010102000000000722,200,30,106.67933893025715
neo4j,0.0011159000000000585,350,31,110.4632745990872
neo4j,0.0012545999999999946,400,32,112.42942916031265
xsb,0.010009500000000005,50,33,797.824007651845
duckdb,0.0172755,50,34,172.59103851341217
duckdb,0.07610160000000002,100,35,440.51749587566223
xsb,0.07740849999999999,100,36,101.71730949152182
duckdb,0.24468810000000002,150,37,316.0997823236467
xsb,0.2630425,150,38,107.50114124879795
xsb,0.47873299999999996,200,39,181.9983462748415
duckdb,0.6843286500000001,200,40,142.945786064466
xsb,1.429151,250,41,208.83986078911062
duckdb,1.5692035500000001,250,42,109.79970276059004
duckdb,1.5766806500000001,300,43,100.47649012774664
xsb,1.8906175,300,44,119.91125152706097
duckdb,2.6676462999999995,350,45,141.09920700511867
xsb,3.755724,350,46,140.78792979414104
duckdb,4.4432751999999995,400,47,118.30675523547522
xsb,4.47748,400,48,100.76981052175206
