environment,cpu_time,size,position,factor
clingo,0.0,100,1,
postgres,1.8200000000023753e-05,100,2,inf
mariadb,8.619999999998074e-05,100,3,473.62637362564965
mariadb,0.00011459999999999804,200,4,132.9466357308859
cockroachdb,0.00012820000000001163,200,5,111.86736474695795
mariadb,0.00014580000000000704,600,6,113.72854914196087
mariadb,0.00014839999999997078,500,7,101.78326474620276
cockroachdb,0.00014859999999999873,100,8,100.13477088950673
postgres,0.00015980000000000993,400,9,107.53701211306279
mariadb,0.00017620000000001523,400,10,110.26282853567227
postgres,0.0001776000000000111,200,11,100.79455164585455
postgres,0.00018080000000000317,300,12,101.80180180179723
mariadb,0.00018179999999997642,300,13,100.55309734511792
cockroachdb,0.00018620000000000304,300,14,102.42024202421737
postgres,0.00021660000000000011,900,15,116.32653061224308
postgres,0.00022600000000000398,500,16,104.33979686057427
cockroachdb,0.00023640000000000328,1000,17,104.60176991150402
cockroachdb,0.00024119999999998586,900,18,102.0304568527845
cockroachdb,0.0002438000000000051,400,19,101.0779436152651
postgres,0.000251200000000007,1000,20,103.03527481542318
cockroachdb,0.0002528000000000086,700,21,100.63694267515986
postgres,0.0002533999999999925,700,22,100.23734177214554
postgres,0.00026720000000000075,600,23,105.44593528019284
cockroachdb,0.00027740000000000544,800,24,103.81736526946281
cockroachdb,0.0002843999999999847,500,25,102.52343186733206
cockroachdb,0.00029320000000002675,600,26,103.09423347399527
postgres,0.0003001999999999838,800,27,102.38744884036713
neo4j,0.00030319999999999235,100,28,100.99933377748458
neo4j,0.0004850000000000021,500,29,159.9604221635931
neo4j,0.0004986000000000157,300,30,102.804123711343
neo4j,0.0005782000000000065,200,31,115.96470116325477
neo4j,0.0005830000000000002,800,32,100.83016257350288
neo4j,0.0007359999999999922,600,33,126.24356775300033
mariadb,0.0007899999999999574,800,34,107.33695652173448
neo4j,0.0008740000000000081,700,35,110.63291139241204
neo4j,0.0009111999999999787,400,36,104.25629290617509
neo4j,0.0009928000000000048,900,37,108.9552238806001
neo4j,0.0011112000000000123,1000,38,111.92586623690642
mariadb,0.0014973999999999931,700,39,134.7552195824313
clingo,0.0020000000000000018,200,40,133.5648457326039
clingo,0.007999999999999919,300,41,399.99999999999557
clingo,0.009999999999999964,400,42,125.00000000000082
clingo,0.01999999999999962,500,43,199.9999999999969
duckdb,0.020894000000000013,100,44,104.47000000000206
clingo,0.02400000000000091,600,45,114.86551163013733
xsb,0.0318528,100,46,132.71999999999497
clingo,0.032000000000000736,700,47,100.46212577858378
clingo,0.04200000000000057,800,48,131.24999999999875
clingo,0.05599999999999715,900,49,133.33333333332473
clingo,0.06400000000000046,1000,50,114.28571428572091
duckdb,0.092367,200,51,144.32343749999896
mongodb,0.15376820000000002,100,52,166.47525631448462
souffle,0.1748882,100,53,113.73495950398065
xsb,0.26519919999999997,200,54,151.63927583450453
duckdb,0.40441399999999994,300,55,152.49442683085016
xsb,0.8883141999999999,300,56,219.6546608178748
duckdb,0.9652742,400,57,108.66360123478833
souffle,1.288402,200,58,133.47523429094034
xsb,2.1617379999999997,400,59,167.78443374040086
duckdb,2.7309246000000003,500,60,126.33004554668514
souffle,4.312656,300,61,157.91926294852664
xsb,4.407457,500,62,102.19820454031112
duckdb,5.0194922,600,63,113.8863566904907
mongodb,5.9628248,200,64,118.79338710796283
duckdb,6.2641615999999996,700,65,105.05359137836818
xsb,7.4916838,600,66,119.59595359098016
souffle,10.2421,400,67,136.7129242694413
duckdb,10.9151426,800,68,106.57133400376875
xsb,12.121497799999998,700,69,111.05212496261845
duckdb,13.108283199999999,900,70,108.14078768384547
xsb,18.1246906,800,71,138.26898857357614
souffle,20.02474,500,72,110.48321012442553
duckdb,22.9326648,1000,73,114.52166070570703
xsb,26.345235000000002,900,74,114.88082710736695
souffle,34.37328,600,75,130.47247443418135
xsb,36.824070400000004,1000,76,107.12992882843884
souffle,54.81555999999999,700,77,148.8579600369219
souffle,81.53943999999998,800,78,148.75236155573344
souffle,115.973,900,79,142.22933098387728
souffle,159.53879999999998,1000,80,137.5654678244074
