environment,real_time,size,position,factor
duckdb,0.012298491795081645,100,1,
xsb,0.03352017402648928,100,2,272.55516029936706
duckdb,0.09195312501396984,200,3,274.3217411141839
postgres,0.09462153338827192,100,4,102.90192244569904
mariadb,0.16944121660199016,100,5,179.07257527385613
cockroachdb,0.2535251582041383,100,6,149.6242551183149
xsb,0.2725450992584226,200,7,107.50219078414673
duckdb,0.287721741583664,300,8,105.56848843238645
postgres,0.5110356332035735,200,9,177.614534929045
duckdb,0.8451092165894807,400,10,165.37187657378627
xsb,0.8949928283691406,300,11,105.90262309302105
cockroachdb,0.9912177833844907,200,12,110.75147777336849
mariadb,1.075219100189861,200,13,108.47455707650337
duckdb,1.664016841596458,500,14,154.76072191264345
postgres,1.732409508212004,300,15,104.11009461598537
xsb,2.181639623641968,400,16,125.93094261492527
duckdb,2.8601175500196403,600,17,131.09945011197772
cockroachdb,3.0213735166122206,300,18,105.63808877685719
mariadb,3.790526791813318,300,19,125.45707344597123
postgres,4.239090216578916,400,20,111.83380172208237
xsb,4.378122186660766,500,21,103.2797596413047
duckdb,4.974409675004426,700,22,113.61970869978057
cockroachdb,6.924819100205786,400,23,139.20886200832715
xsb,7.5056570053100575,600,24,108.38777008755378
duckdb,7.704449866595678,800,25,102.64857375103844
postgres,8.828442633384839,500,26,114.5888776778531
mariadb,9.540202850208152,400,27,108.0621265423619
duckdb,10.368628725013696,900,28,108.683524740645
xsb,12.15382280349732,700,29,117.21726301354536
cockroachdb,13.230990375217516,500,30,108.86278818718861
duckdb,14.287745733000339,1000,31,107.98697095088356
postgres,17.449417724995875,600,32,122.12855723414113
xsb,18.15298357009886,800,33,104.03203050205592
mariadb,19.823363199981394,500,34,109.20168094369865
cockroachdb,23.48763042500941,600,35,118.48458905818491
postgres,24.59751976657426,700,36,104.72542066390422
xsb,26.2522250175476,900,37,106.72712235492105
mariadb,33.20847836639732,600,38,126.49776673862883
cockroachdb,35.88631752498914,700,39,108.06372134563516
xsb,36.65207242965699,1000,40,102.13383528174667
postgres,40.10207987498725,800,41,109.41285776391373
postgres,51.53513311641291,900,42,128.50987598914233
cockroachdb,54.50769494181732,800,43,105.76802978016897
postgres,73.31788954199291,1000,44,134.50924611700054
cockroachdb,78.82610432519577,900,45,107.51278414805982
cockroachdb,105.06372113319813,1000,46,133.28544145700707
mariadb,2533.260230066825,700,47,2411.1655314922623
