environment,cpu_time,size,position,factor
mariadb,0.00011550000000001837,150,1,
mariadb,0.00012149999999999661,200,2,105.19480519478552
mariadb,0.00012704999999998967,350,3,104.56790123456233
mariadb,0.00012770000000000836,100,4,100.51160960253344
mariadb,0.0001301500000000233,250,5,101.91855912295597
postgres,0.00013565000000001493,300,6,104.22589320014649
mariadb,0.00013579999999999148,300,7,100.11057869515409
cockroachdb,0.00013734999999998054,400,8,101.1413843887991
mariadb,0.00014085000000002568,50,9,102.54823443760148
postgres,0.00014885000000003368,50,10,105.67980120696241
postgres,0.0001517499999999783,100,11,101.94827007050316
cockroachdb,0.00015580000000001148,300,12,102.66886326196625
cockroachdb,0.00015715000000002255,150,13,100.86649550706737
postgres,0.00015740000000000198,200,14,100.15908367800152
postgres,0.00016240000000000698,400,15,103.17662007624202
postgres,0.0001631000000000271,250,16,100.431034482771
postgres,0.0001633000000000051,150,17,100.12262415694542
postgres,0.00016840000000001298,350,18,103.12308634415659
cockroachdb,0.00018124999999999392,50,19,107.63064133015436
cockroachdb,0.00019020000000000148,200,20,104.9379310344871
cockroachdb,0.00019320000000000448,250,21,101.57728706624762
cockroachdb,0.0001941500000000318,100,22,100.49171842651516
cockroachdb,0.0002396999999999816,350,23,123.4612413082371
mariadb,0.0002473500000000073,400,24,103.1914893617131
neo4j,0.0007803499999998742,250,25,315.48413179698855
neo4j,0.0009422000000000041,200,26,120.740693278677
neo4j,0.000949100000000036,100,27,100.73232859265886
neo4j,0.001099249999999996,50,28,115.82025076387677
neo4j,0.0013179500000000122,150,29,119.8953832158305
neo4j,0.0013300000000000534,350,30,100.91429872150242
neo4j,0.0017942499999998862,400,31,134.90601503758
neo4j,0.0023143500000000206,300,32,128.9870419395384
duckdb,0.015271499999999993,50,33,659.8613001490638
xsb,0.0160655,50,34,105.19922731886197
duckdb,0.08254920000000002,100,35,513.8290124801595
xsb,0.1277975,100,36,154.81373532390379
duckdb,0.17978465,150,37,140.67931688804552
xsb,0.3824335,150,38,212.7175484670132
duckdb,0.60162345,200,39,157.31452657782333
xsb,0.880691,200,40,146.38575009002724
duckdb,1.4064192000000002,250,41,159.69496679312044
duckdb,1.9749804,300,42,140.42615459174615
xsb,2.1726,250,43,110.00615499779138
xsb,3.417441,300,44,157.29729356531345
duckdb,3.714848,350,45,108.70262281045964
xsb,6.015974,350,46,161.9440149368157
duckdb,7.567370049999999,400,47,125.78794472848452
xsb,8.712522,400,48,115.13276002671498
