environment,cpu_time,size,position,factor
clingo,0.0,200,1,
clingo,0.0,100,2,
postgres,2.300000000000635e-05,100,3,inf
mariadb,9.819999999998164e-05,100,4,426.9565217389327
mariadb,0.000128000000000017,200,5,130.34623217926776
mariadb,0.00013019999999999143,600,6,101.7187499999798
cockroachdb,0.0001316000000000095,200,7,101.07526881721824
cockroachdb,0.00013259999999999384,100,8,100.75987841944094
mariadb,0.00014659999999999673,500,9,110.55806938160147
postgres,0.0001484000000000041,300,10,101.2278308322015
cockroachdb,0.00017200000000000548,300,11,115.90296495956922
postgres,0.00017579999999999262,400,12,102.20930232557383
mariadb,0.00018540000000000223,300,13,105.46075085324802
postgres,0.00019259999999999834,200,14,103.88349514562891
mariadb,0.00020299999999999762,400,15,105.39979231567985
cockroachdb,0.00023039999999998617,900,16,113.49753694580733
cockroachdb,0.00023320000000000008,500,17,101.2152777777839
postgres,0.00023440000000000128,900,18,100.51457975986328
cockroachdb,0.00025260000000000283,700,19,107.76450511945454
postgres,0.00026479999999999836,500,20,104.82977038796332
cockroachdb,0.0002755999999999981,800,21,104.07854984894252
postgres,0.00028200000000000447,800,22,102.32220609579335
postgres,0.0002842000000000011,700,23,100.78014184397041
cockroachdb,0.00028559999999999697,600,24,100.49261083743697
postgres,0.0002933999999999881,600,25,102.73109243697172
cockroachdb,0.00029719999999999747,1000,26,101.29516019086896
postgres,0.0003157999999999883,1000,27,106.25841184387315
cockroachdb,0.00033159999999998746,400,28,105.00316656111454
mariadb,0.0006001999999999952,700,29,181.001206272623
clingo,0.0060000000000000496,300,30,999.6667777407695
clingo,0.010000000000000142,400,31,166.66666666666768
clingo,0.012000000000000455,500,32,120.00000000000284
duckdb,0.018668000000000008,100,33,155.56666666666084
clingo,0.026000000000000512,600,34,139.27576601671578
clingo,0.030000000000001137,700,35,115.38461538461749
clingo,0.046000000000003406,800,36,153.33333333333889
xsb,0.049724399999999995,100,37,108.09652173912241
clingo,0.054000000000000006,900,38,108.59859545816543
clingo,0.060000000000002274,1000,39,111.1111111111153
duckdb,0.15802120000000003,200,40,263.36866666665674
souffle,0.1734828,100,41,109.78450992651617
duckdb,0.31717880000000004,300,42,182.8301134175838
xsb,0.4057604,200,43,127.92796996520575
duckdb,1.04523,400,44,257.5978335983502
souffle,1.288742,200,45,123.29745606230207
xsb,1.3973334,300,46,108.42615511871266
duckdb,2.6549368,500,47,190.00023902670617
xsb,3.2832036,400,48,123.66409626021984
duckdb,3.5925121999999994,600,49,109.42093874409736
souffle,4.2965919999999995,300,50,119.5985360884787
xsb,6.443149,500,51,149.9595260615856
duckdb,7.0471037999999995,700,52,109.37359666833717
souffle,10.239619999999999,400,53,145.30252839471441
xsb,10.820947799999999,600,54,105.67723997570222
duckdb,10.917373399999999,800,55,100.89110123976386
duckdb,12.5320352,900,56,114.7898376362212
xsb,17.2542082,700,57,137.68081500441366
duckdb,17.6749464,1000,58,102.43846715608775
souffle,20.02356,500,59,113.28781172428337
xsb,25.908335,800,60,129.3892544582482
souffle,34.38988,600,61,132.73674282812846
xsb,36.966672599999995,900,62,107.4928804636713
xsb,50.868073599999995,1000,63,137.60522660619446
souffle,54.67282,700,64,107.4796353208076
souffle,81.8471,800,65,149.70345411120186
souffle,115.75139999999999,900,66,141.4239478246633
souffle,159.716,1000,67,137.98191641742562
