environment,real_time,size,position,factor
duckdb,0.0025160748162306847,50,1,
xsb,0.00675082206726074,50,2,268.3076840049654
duckdb,0.012791174813173711,100,3,189.47581028993034
postgres,0.03057618320453912,50,4,239.04124250611068
duckdb,0.040780633804388344,150,5,133.37385353687424
xsb,0.052206897735595705,100,6,128.01884832397528
mariadb,0.0694467332214117,50,7,133.0221411989043
postgres,0.09443596678320318,100,8,135.98331037706296
duckdb,0.09640369180124253,200,9,102.08366058512077
xsb,0.1780499458312988,150,10,184.6920408384235
mariadb,0.17918994179926812,100,11,100.64026751743552
duckdb,0.18412823318503796,250,12,102.75589764480297
cockroachdb,0.21154961640713738,50,13,114.89254675818377
cockroachdb,0.2321505415951833,100,14,109.73810566897859
postgres,0.2492158420034684,150,15,107.3509629962626
duckdb,0.3125283251865767,300,16,125.40467840011036
xsb,0.4206451892852784,200,17,134.5942608671252
cockroachdb,0.47062968300888314,150,18,111.88281596861569
duckdb,0.49657815841492264,350,19,105.51356540882477
mariadb,0.5330047666095197,150,20,107.3355236385891
postgres,0.559799991582986,200,21,105.02720175354389
duckdb,0.7346940583898686,400,22,131.24224177144453
xsb,0.8154659271240234,250,23,110.99394609385733
cockroachdb,0.930659149796702,200,24,114.12606202676558
postgres,1.0791816332028248,250,25,115.95884846117582
mariadb,1.1937579164048657,200,26,110.61696008131628
xsb,1.3936450004577619,300,27,116.74435673313717
cockroachdb,1.6880331834079698,250,28,121.12361346350843
postgres,1.9713920998037793,300,29,116.7863356704716
xsb,2.1988116264343263,350,30,111.53598650685386
mariadb,2.3522956663859076,250,31,106.9803178274292
cockroachdb,2.9088153666234575,300,32,123.65857779658256
postgres,3.1531157332123256,350,33,108.39862059971345
xsb,3.2997539520263666,400,34,104.65058155872538
mariadb,4.142697924794629,300,35,125.54566143486589
cockroachdb,4.465099116798956,350,36,107.78239683069117
postgres,4.743926808401011,400,37,106.24460251180152
cockroachdb,6.777682433207519,400,38,142.87072096485414
mariadb,6.814084008196369,350,39,100.5370799730967
mariadb,10.232071825210005,400,40,150.1606351330903
