environment,cpu_time,size,position,factor
clingo,0.0,100,1,
clingo,0.0040000000000000036,200,2,inf
clingo,0.005999999999999872,300,3,149.99999999999667
clingo,0.00799999999999983,400,4,133.33333333333334
clingo,0.01599999999999966,500,5,200.0
clingo,0.019999999999999574,600,6,125.0
clingo,0.03200000000000114,700,7,160.00000000000912
clingo,0.03599999999999852,800,8,112.49999999999136
clingo,0.049999999999998976,900,9,138.88888888889176
xsb,0.0529404,100,10,105.88080000000217
clingo,0.06000000000000022,1000,11,113.33499557993558
souffle,0.3054582,100,12,509.09699999999816
xsb,0.4258976,200,13,139.42909373524756
xsb,1.3886992,300,14,326.06410555025434
souffle,2.297596,200,15,165.4495084320636
xsb,3.3225496,400,16,144.60982696696897
xsb,6.491732600000001,500,17,195.38406890900893
souffle,7.766288,300,18,119.63351663622126
xsb,10.8728596,600,19,140.00072621566443
xsb,17.325140600000005,700,20,159.34299933386433
souffle,18.82078,400,21,108.63276919091783
xsb,26.163236599999998,800,22,139.01249895062796
souffle,35.3274,500,23,135.02687201934336
xsb,37.374866000000004,900,24,105.79568833256907
xsb,51.22737500000001,1000,25,137.06370211467782
souffle,63.66976,600,26,124.28854689509268
souffle,103.03400000000002,700,27,161.82564532990233
souffle,154.2942,800,28,149.75076188442645
souffle,215.1904,900,29,139.46758854188948
souffle,288.8692,1000,30,134.23888798013292
