environment,cpu_time,size,position,factor
postgres,2.5600000000003397e-05,200,1,
postgres,4.0600000000012845e-05,100,2,158.59375000002913
postgres,4.3400000000004545e-05,300,3,106.8965517241153
mariadb,9.980000000000543e-05,1000,4,229.95391705067968
mariadb,0.00010000000000001119,500,5,100.20040080160896
mariadb,0.00010800000000000809,100,6,107.999999999996
mariadb,0.00011260000000001824,600,7,104.25925925926833
mariadb,0.00011419999999999764,200,8,101.42095914740598
mariadb,0.00011459999999999804,300,9,100.35026269702311
mariadb,0.00012039999999998718,400,10,105.06108202442341
mariadb,0.00012220000000000563,900,11,101.49501661131117
mariadb,0.00012660000000001004,700,12,103.60065466448789
mariadb,0.00012959999999999637,800,13,102.36966824643451
cockroachdb,0.00013300000000000535,700,14,102.62345679013045
cockroachdb,0.00013659999999999785,1000,15,102.70676691728748
cockroachdb,0.00014000000000001788,200,16,102.48901903368967
cockroachdb,0.00014520000000000087,600,17,103.7142857142731
cockroachdb,0.0001576000000000133,500,18,108.53994490358976
cockroachdb,0.00015819999999999723,800,19,100.38071065988825
cockroachdb,0.00016380000000001393,900,20,103.53982300886018
cockroachdb,0.00017140000000001043,100,21,104.63980463980211
postgres,0.0001731999999999956,600,22,101.0501750291628
cockroachdb,0.00017539999999999223,400,23,101.2702078521921
postgres,0.00017620000000000412,500,24,100.45610034208205
postgres,0.00018119999999999248,1000,25,102.83768444948254
cockroachdb,0.00018580000000000262,300,26,102.53863134658407
postgres,0.00018799999999999928,400,27,101.18406889127914
postgres,0.00019240000000000367,800,28,102.34042553191725
postgres,0.00019259999999998723,900,29,100.10395010394156
postgres,0.00020399999999998197,700,30,105.91900311526246
xsb,0.0008716000000000002,100,31,427.25490196082217
xsb,0.0034666000000000002,200,32,397.72831574116566
xsb,0.0081828,300,33,236.04684705475103
xsb,0.0157846,400,34,192.89974091997848
xsb,0.024644199999999998,500,35,156.12812488121332
duckdb,0.031210399999999982,100,36,126.643997370578
xsb,0.0366228,600,37,117.34165534565406
duckdb,0.0423648,200,38,115.67875749533079
xsb,0.04982760000000001,700,39,117.61556764106051
xsb,0.0653482,800,40,131.14860037408985
xsb,0.0822348,900,41,125.84095659865153
duckdb,0.09882640000000002,300,42,120.17588660761626
xsb,0.1009104,1000,43,102.1087482696931
duckdb,0.10426880000000001,400,44,103.32810096878025
duckdb,0.1686608,600,45,161.75576970292167
duckdb,0.1791528,500,46,106.22076973428325
duckdb,0.2008772,700,47,112.12618502194775
duckdb,0.27815899999999993,800,48,138.4721611014092
duckdb,0.28692579999999995,900,49,103.15172257593679
duckdb,0.4399388,1000,50,153.3284214943376
