environment,real_time,size,position,factor
clingo,0.0,100,1,
xsb,0.0009034633636474611,100,2,inf
clingo,0.0019999980926513673,200,3,221.3701377526785
xsb,0.003705263137817384,200,4,185.26333357175218
xsb,0.00863156318664551,300,5,232.95412135641206
clingo,0.009999990463256836,400,6,115.85375959164053
clingo,0.009999990463256836,300,7,100.0
clingo,0.011999988555908203,500,8,120.0
postgres,0.016199466574471445,100,9,134.99568352917825
xsb,0.01651997566223146,400,10,101.97851630661161
duckdb,0.01741993341129273,100,11,105.44769415804156
clingo,0.019999980926513672,600,12,114.81089194949728
souffle,0.0210364,100,13,105.18210030946761
xsb,0.02565460205078126,500,14,121.95338580166406
duckdb,0.029843841574620455,200,15,116.32938805890237
clingo,0.030000019073486327,700,16,100.52331566790882
xsb,0.03828201293945314,600,17,127.60662866806756
clingo,0.04000000953674317,800,18,104.48773840604258
postgres,0.0447769500198774,200,19,111.94234836055786
clingo,0.05,900,20,111.66459523885388
duckdb,0.05150920000160113,300,21,103.01840000320223
xsb,0.05202331542968749,700,22,100.99810408251415
clingo,0.059999942779541016,1000,23,115.33279316008685
souffle,0.06441798000000001,200,24,107.3634023897194
xsb,0.06753020286560055,800,25,104.8312953395939
duckdb,0.06789572521811352,400,26,100.54127240405369
mariadb,0.08320896680234,100,27,122.55405849931351
xsb,0.08499469757080079,900,28,102.14607972804511
duckdb,0.09466457501985133,500,29,111.3770361274543
postgres,0.10420665841083973,300,30,110.07988826758839
xsb,0.10496101379394521,1000,31,100.72390324630831
duckdb,0.11264859137590974,600,32,107.32422192210953
souffle,0.12149360000000001,300,33,107.85185905660761
duckdb,0.13763412521220744,700,34,113.28508268106916
neo4j,0.1389698167971801,100,35,100.97046541539989
duckdb,0.16448278340976685,800,36,118.35863873219444
mariadb,0.18270380001049488,200,37,111.07776523658104
duckdb,0.1946146833943203,900,38,106.51923133680923
souffle,0.20195120000000003,400,39,103.76976519845358
postgres,0.2021333834156394,400,40,100.09021160341676
cockroachdb,0.21793174180202185,100,41,107.81580861084032
duckdb,0.2389986086054705,1000,42,109.66672712715098
cockroachdb,0.27045414978638294,200,43,113.16139092375973
souffle,0.309396,500,44,114.39868837079229
mariadb,0.3205718832090497,300,45,103.61216150468968
postgres,0.32682489160215483,500,46,101.95057917447721
cockroachdb,0.3404946082038805,300,47,104.18258123936468
souffle,0.44213800000000003,600,48,129.85168908614781
cockroachdb,0.4488800915889442,400,49,101.52488399299409
postgres,0.47540605819085613,600,50,105.9093657970028
mariadb,0.5175000666058622,400,51,108.85432730394594
neo4j,0.5549260500061791,200,52,107.23207315619948
cockroachdb,0.5566076421760954,500,53,100.30302995685597
souffle,0.5986119999999999,700,54,107.54649319216776
cockroachdb,0.6938774417969398,600,55,115.9143889191897
postgres,0.72191097518662,700,56,104.04012750682332
mariadb,0.7775528502068483,500,57,107.70758125762592
souffle,0.790728,800,58,101.69443784942035
cockroachdb,0.8791871749912389,700,59,111.1870548394946
postgres,0.9252762418123893,800,60,105.2422360257484
souffle,1.00662,900,61,108.79129437369734
cockroachdb,1.0496851082192733,800,62,104.27818920936136
mariadb,1.0781387166003698,600,63,102.71068038960429
postgres,1.1858679834171197,900,64,109.99215269408434
cockroachdb,1.2474479004042223,900,65,105.19281385855935
neo4j,1.2752573665988165,300,66,102.22930883009886
souffle,1.28358,1000,67,100.6526238247406
postgres,1.4811547500081361,1000,68,115.39247651164214
cockroachdb,1.5172373667941428,1000,69,102.43611390273762
neo4j,2.302963741600979,400,70,151.78664802245427
mariadb,2.3575150666176343,700,71,102.36874441534769
neo4j,3.615021166804945,500,72,153.34032083160662
mariadb,4.515233591606375,800,73,124.90199595697146
neo4j,5.354514174797805,600,74,118.5877555648863
mariadb,6.657130341813899,900,75,124.32743895136451
neo4j,7.4236521665996404,700,76,111.51429798469114
mariadb,9.182057666603942,1000,77,123.68652868618612
neo4j,9.803639617003501,800,78,106.76952784407263
neo4j,12.6760462166043,900,79,129.2993899390067
neo4j,15.899083399801748,1000,80,125.42620252500821
