environment,cpu_time,size,position,factor
clingo,0.0,200,1,
clingo,0.0,100,2,
clingo,0.0,300,3,
postgres,3.599999999999159e-05,100,4,inf
postgres,3.8599999999988646e-05,200,5,107.22222222221573
postgres,3.9199999999983694e-05,300,6,101.55440414506536
mariadb,8.36000000000059e-05,100,7,213.26530612255272
mariadb,8.780000000000455e-05,200,8,105.02392344497412
mariadb,9.51999999999953e-05,400,9,108.42824601365646
mariadb,0.00011320000000000218,800,10,118.90756302521825
mariadb,0.00011439999999998118,300,11,101.06007067135951
mariadb,0.00011759999999999549,900,12,102.79720279721576
mariadb,0.0001232000000000011,600,13,104.76190476190972
mariadb,0.0001236000000000015,500,14,100.32467532467564
mariadb,0.0001252000000000031,700,15,101.29449838187831
postgres,0.0001436000000000215,400,16,114.69648562301754
postgres,0.00014979999999999993,700,17,104.31754874650245
cockroachdb,0.00015219999999999123,400,18,101.60213618156963
cockroachdb,0.00015299999999999204,800,19,100.52562417871277
cockroachdb,0.0001544000000000101,300,20,100.91503267975041
mariadb,0.00016260000000001273,1000,21,105.3108808290169
cockroachdb,0.00016459999999999254,600,22,101.23001230011049
cockroachdb,0.00016500000000001512,700,23,100.24301336574885
postgres,0.00016979999999999773,600,24,102.90909090908009
cockroachdb,0.0001748000000000083,100,25,102.94464075383429
postgres,0.00017619999999999303,500,26,100.80091533179902
cockroachdb,0.0001807999999999921,200,27,102.61066969352966
cockroachdb,0.00018360000000000598,500,28,101.54867256637942
postgres,0.00018660000000000342,800,29,101.63398692810313
cockroachdb,0.00018839999999999967,1000,30,100.96463022507835
cockroachdb,0.00019120000000000248,900,31,101.48619957537304
postgres,0.00020000000000001129,1000,32,104.60251046025559
postgres,0.0002024000000000026,900,33,101.19999999999558
xsb,0.000858,100,34,423.9130434782554
xsb,0.0033363999999999998,200,35,388.85780885780883
xsb,0.007694000000000001,300,36,230.6078407864765
clingo,0.010000000000000009,500,37,129.97140629061616
clingo,0.012000000000000007,400,38,119.99999999999997
xsb,0.0134796,400,39,112.32999999999993
clingo,0.020000000000000018,600,40,148.37235526276757
xsb,0.020850399999999998,500,41,104.2519999999999
souffle,0.0209322,100,42,100.39231861259259
duckdb,0.022723400000000005,100,43,108.55715118334435
clingo,0.030000000000000034,700,44,132.02249663342647
xsb,0.030853399999999996,600,45,102.84466666666654
clingo,0.03800000000000004,800,46,123.16308737448725
xsb,0.0417688,700,47,109.91789473684199
xsb,0.0539686,800,48,129.20792553293364
duckdb,0.05644439999999999,200,49,104.58748235084845
clingo,0.05800000000000005,900,50,102.75598642203664
clingo,0.06000000000000005,1000,51,103.44827586206897
souffle,0.0641708,200,52,106.95133333333324
xsb,0.0676534,900,53,105.42707898296422
duckdb,0.0800872,300,54,118.37867719878084
xsb,0.0839126,1000,55,104.77654356751142
duckdb,0.10373999999999999,400,56,123.62863264873212
souffle,0.12072559999999999,300,57,116.37324079429344
duckdb,0.13933559999999998,500,58,115.4151232215868
duckdb,0.16890080000000002,600,59,121.21869787764221
duckdb,0.1998508,700,60,118.32436554474577
souffle,0.2014522,400,61,100.80129776813503
souffle,0.307495,500,62,152.6391868641792
duckdb,0.32963739999999997,900,63,107.20089757557032
duckdb,0.37185100000000004,800,64,112.80607115576086
souffle,0.4401084,600,65,118.35611575604206
duckdb,0.5138366,1000,66,116.75228193781348
souffle,0.5984076,700,67,116.45873415790157
souffle,0.7799656,800,68,130.34018952967844
souffle,1.0014732000000002,900,69,128.3996627543574
souffle,1.2455399999999999,1000,70,124.37077697136576
