environment,real_time,size,position,factor
clingo,0.0,100,1,
xsb,0.0009214401245117188,100,2,inf
xsb,0.0035530090332031236,200,3,385.5930449182362
clingo,0.0039999961853027345,200,4,112.58052394245229
clingo,0.005999994277954101,300,5,150.0
xsb,0.008232593536376953,300,6,137.21002312662424
clingo,0.010000038146972656,400,7,121.46886765131768
clingo,0.011999988555908203,500,8,119.99942779759294
xsb,0.014402389526367198,400,9,120.02002717974403
duckdb,0.01527135840151459,100,10,106.03350488164847
postgres,0.01815929199801758,100,11,118.91078396939835
souffle,0.020961940000000002,100,12,115.43368542280383
clingo,0.02199997901916504,600,13,104.952017891307
xsb,0.022118377685546857,500,14,100.53817626952588
clingo,0.02799997329711914,700,15,126.59144217170856
xsb,0.03315320014953612,600,16,118.40439916757772
duckdb,0.03443679999327287,200,17,103.87172230115684
clingo,0.037999963760375975,800,18,110.3469653620521
xsb,0.044853496551513675,700,19,118.03562980837403
postgres,0.0470218250178732,200,20,104.83424623065724
clingo,0.05,900,21,106.33360143081386
duckdb,0.05063806660473347,300,22,101.27613320946693
xsb,0.05730667114257816,800,23,113.16915313907607
clingo,0.05999999046325684,1000,24,104.69983558105783
souffle,0.06421964,200,25,107.03275034573083
duckdb,0.06718629199313,400,26,104.61954005523857
xsb,0.0717536449432373,900,27,106.79804289627164
xsb,0.08899598121643068,1000,28,124.02990996043953
duckdb,0.09326300838729366,500,29,104.79462905239049
mariadb,0.0947994583984837,100,30,101.64743775453779
postgres,0.09765245000598952,300,31,103.00950201161851
duckdb,0.11155770840123296,600,32,114.23953868478523
souffle,0.1208178,300,33,108.30071873246251
duckdb,0.13362677498953418,700,34,110.60189391756361
duckdb,0.18047475820640102,800,35,135.05882950519162
mariadb,0.19098245839122682,200,36,105.82225475144209
postgres,0.19646129979519172,400,37,102.86876682294115
duckdb,0.19773337517399342,900,38,100.64749412740719
souffle,0.201699,400,39,102.00554146335541
cockroachdb,0.21908476661192253,100,40,108.61965930020602
duckdb,0.24180871661519632,1000,41,110.37221818508543
cockroachdb,0.2685399999958463,200,42,111.05472282175377
souffle,0.3078676,500,43,114.6449690939011
mariadb,0.33590881678974255,300,44,109.10820651141677
cockroachdb,0.3375874752062373,300,45,100.49973633694333
postgres,0.34871870040660724,500,46,103.29728619036287
cockroachdb,0.42484481680439784,400,47,121.83023632200604
souffle,0.4405756,600,48,103.70271274907532
postgres,0.5102057249867358,600,49,115.80435343826025
mariadb,0.544983391778078,400,50,106.8164007356535
cockroachdb,0.5548370083910413,500,51,101.80805814665557
souffle,0.5991038000000001,700,52,107.97834155607732
postgres,0.6759394665947184,700,53,112.82510085810142
cockroachdb,0.6846144501934759,600,54,101.28339652106139
souffle,0.780203,800,55,113.96239150072137
mariadb,0.8312084583914838,500,56,106.53745991639147
cockroachdb,0.868918641784694,700,57,104.5367901412102
postgres,0.9309539168025367,800,58,107.13936518733524
souffle,1.0016960000000001,900,59,107.59888131094984
cockroachdb,1.0313047334202565,800,60,102.95586020312115
mariadb,1.1617646833881736,600,61,112.64999041895744
postgres,1.2103872500127182,900,62,104.18523366390701
souffle,1.2476340000000001,1000,63,103.07725895054583
cockroachdb,1.2506170248030686,900,64,100.23909454239532
postgres,1.4916853165836073,1000,65,119.27594835185448
cockroachdb,1.5069217498064973,1000,66,101.02142409350692
mariadb,2.455243033193983,700,67,162.9310236917915
mariadb,4.6944652669946665,800,68,191.20165309613844
mariadb,8.133254399802535,900,69,173.25198797368748
mariadb,9.642374766606371,1000,70,118.5549386828534
