environment,cpu_time,size,position,factor
clingo,0.0,200,1,
clingo,0.0019999999999999905,100,2,inf
clingo,0.008000000000000184,400,3,400.0000000000111
clingo,0.009999999999999962,300,4,124.99999999999665
clingo,0.011999999999999744,500,5,119.99999999999788
clingo,0.020000000000000285,600,6,166.6666666666726
clingo,0.029999999999999714,700,7,149.99999999999642
clingo,0.03800000000000421,800,8,126.66666666668192
clingo,0.0460000000000008,900,9,121.05263157893604
xsb,0.0577216,100,10,125.48173913043262
clingo,0.061999999999998404,1000,11,107.41212994788502
souffle,0.31416180000000005,100,12,506.71258064517446
xsb,0.49301340000000005,200,13,156.92977312964211
xsb,1.6136984,300,14,327.31329412141736
souffle,2.208696,200,15,136.87167317015374
xsb,3.9585594,400,16,179.22608634234857
souffle,8.112143999999999,300,17,204.92667105108993
xsb,8.4288846,500,18,103.90452388419142
xsb,12.865281200000002,600,19,152.63325826052954
souffle,19.619419999999998,400,20,152.4989597584544
xsb,20.7034066,700,21,105.52506954843723
xsb,32.368014800000005,800,22,156.34149212912624
souffle,38.01953999999999,500,23,117.46021569416727
xsb,49.3121658,900,24,129.702163150843
souffle,64.90376,600,25,131.6181492884257
xsb,67.3184562,1000,26,103.72042575037254
souffle,102.46020000000001,700,27,152.2022425701438
souffle,152.1612,800,28,148.5076156400241
souffle,224.9568,900,29,147.8411053540587
souffle,311.9108,1000,30,138.65364372181682
