environment,real_time,size,position,factor
clingo,0.0,100,1,
clingo,0.0,200,2,
clingo,0.008000040054321289,300,3,inf
clingo,0.010000038146972656,400,4,124.99985098913413
clingo,0.015999984741210938,500,5,159.99923706345726
clingo,0.02199997901916504,600,6,137.5
clingo,0.02799997329711914,700,7,127.27272727272725
clingo,0.038000059127807614,800,8,135.71462631258066
clingo,0.04999995231628418,900,9,131.57861714929624
xsb,0.05797071456909181,100,10,115.94153970865224
clingo,0.05999999046325684,1000,11,103.50051902801106
souffle,0.31450680000000003,100,12,524.1780833158626
xsb,0.49553942680358903,200,13,157.5607989409415
xsb,1.624207973480224,300,14,327.7656399525989
souffle,2.220326,200,15,136.7020748729894
xsb,3.974501848220826,400,16,179.00532841667513
souffle,8.120922,300,17,204.32553084949015
xsb,8.434536170959472,500,18,103.86180498913143
xsb,12.91874918937684,600,19,153.16490352909668
souffle,19.634679999999996,400,20,151.98592148646793
xsb,20.747580242157,700,21,105.66803351089501
xsb,32.4684455871582,800,22,156.49268593349302
souffle,38.082840000000004,500,23,117.29184847414558
xsb,49.46190662384034,900,24,129.87977426011383
souffle,64.96002000000001,600,25,131.33343300739176
xsb,67.52419862747192,1000,26,103.9473181003822
souffle,102.59560000000002,700,27,151.93901162161953
souffle,152.3748,800,28,148.51981956341206
souffle,225.3074,900,29,147.863951257032
souffle,312.4766,1000,30,138.689008882975
