environment,cpu_time,size,position,factor
mariadb,0.00011990000000000611,350,1,
mariadb,0.0001283499999999993,400,2,107.0475396163409
mariadb,0.00012890000000001511,200,3,100.42851577718412
postgres,0.00013270000000001336,100,4,102.94802172226363
mariadb,0.00013855000000001505,300,5,104.40844009043037
postgres,0.0001442999999999861,250,6,104.15012630817064
postgres,0.00014585000000000292,50,7,101.07415107416283
postgres,0.0001549500000000148,150,8,106.2392869386436
mariadb,0.00016925000000000967,150,9,109.22878347853728
cockroachdb,0.0001733500000000443,50,10,102.42245199411191
postgres,0.0001749000000000056,300,11,100.89414479374727
postgres,0.00017585000000003292,200,12,100.54316752431521
mariadb,0.00017829999999999235,50,13,101.39323286889905
cockroachdb,0.00019040000000003499,300,14,106.78631519912685
postgres,0.0001923500000000078,350,15,101.02415966385108
mariadb,0.00019400000000002748,250,16,100.85781128152827
cockroachdb,0.00020094999999997754,200,17,103.58247422677786
cockroachdb,0.00020779999999998022,400,18,103.40880816123585
postgres,0.00021120000000002248,400,19,101.6361886429464
cockroachdb,0.00022425000000003692,100,20,106.17897727273345
cockroachdb,0.00022590000000002886,350,21,100.73578595317355
mariadb,0.0002440999999999971,100,22,108.05666223991408
cockroachdb,0.00024460000000003923,250,23,100.2048340844089
cockroachdb,0.00025559999999996696,150,24,104.49713818476123
neo4j,0.0007178500000000199,150,25,280.84898278564657
neo4j,0.0008373000000000408,350,26,116.63996656683398
neo4j,0.0008544999999999803,50,27,102.05422190373088
neo4j,0.0008569500000001895,400,28,100.28671737860846
neo4j,0.0009421999999998931,100,29,109.94807164941767
neo4j,0.0009624999999997552,200,30,102.15453194649378
neo4j,0.000969900000000079,250,31,100.76883116886502
neo4j,0.0012170500000001638,300,32,125.48200845448652
xsb,0.003090999999999995,50,33,253.9747750708335
xsb,0.0113365,100,34,366.7583306373348
duckdb,0.017708699999999994,50,35,156.20958849733157
duckdb,0.022161050000000015,100,36,125.14216176229776
xsb,0.0274045,150,37,123.66065687320761
xsb,0.0416995,200,38,152.16296593625137
duckdb,0.05554025000000001,150,39,133.19164498375284
duckdb,0.05802525,200,40,104.47423265109535
xsb,0.071552,250,41,123.3118340722358
xsb,0.073812,300,42,103.15854203935599
duckdb,0.12825615000000004,250,43,173.76056738741673
xsb,0.1317755,350,44,102.74400096993395
duckdb,0.1657704,300,45,125.79758756369736
xsb,0.167494,400,46,101.03975136695091
duckdb,0.23582604999999995,350,47,140.79671510621273
duckdb,0.3130823,400,48,132.7598456574242
