environment,cpu_time,size,position,factor
postgres,2.08000000000097e-05,100,1,
postgres,3.619999999999734e-05,200,2,174.03846153836759
mariadb,7.820000000000605e-05,100,3,216.02209944754637
mariadb,8.500000000001284e-05,200,4,108.69565217392105
mariadb,0.00010900000000000354,300,5,128.23529411763187
mariadb,0.00011780000000000124,700,6,108.07339449541047
cockroachdb,0.00011920000000000818,500,7,101.18845500849486
postgres,0.00012780000000000012,300,8,107.21476510066388
mariadb,0.0001296000000000075,400,9,101.4084507042311
mariadb,0.0001355999999999913,600,10,104.62962962961686
cockroachdb,0.00013699999999999823,800,11,101.03244837758632
postgres,0.00013919999999999487,500,12,101.60583941605597
mariadb,0.00014399999999999968,500,13,103.44827586207255
cockroachdb,0.00015059999999998962,200,14,104.58333333332637
cockroachdb,0.00015100000000001224,900,15,100.26560424968302
cockroachdb,0.00015399999999998748,400,16,101.98675496687086
cockroachdb,0.00015479999999998829,100,17,100.51948051948108
cockroachdb,0.00016039999999999387,700,18,103.6175710594354
mariadb,0.00016079999999999429,800,19,100.24937655860376
cockroachdb,0.00016280000000000737,300,20,101.24378109453556
mariadb,0.00016499999999999292,1000,21,101.35135135134242
cockroachdb,0.00016580000000000484,600,22,100.48484848485573
postgres,0.0001688000000000023,600,23,101.80940892641577
postgres,0.0001708000000000043,900,24,101.18483412322392
postgres,0.00017340000000001243,800,25,101.52224824356443
postgres,0.00017600000000000948,700,26,101.49942329872945
postgres,0.00017699999999999384,400,27,100.5681818181729
mariadb,0.00017700000000000493,900,28,100.00000000000627
postgres,0.00018600000000000837,1000,29,105.08474576271367
cockroachdb,0.00018880000000001118,1000,30,101.50537634408747
clingo,0.0040000000000000036,100,31,2118.6440677964865
xsb,0.0043202,100,32,108.00499999999991
clingo,0.006000000000000005,200,33,138.88245914541005
clingo,0.006000000000000005,300,34,100.0
duckdb,0.006170799999999988,100,35,102.84666666666638
clingo,0.014000000000000007,400,36,226.87495948661493
clingo,0.014000000000000012,500,37,100.00000000000004
xsb,0.017415800000000002,200,38,124.39857142857133
duckdb,0.017926200000000003,200,39,102.93067214827916
clingo,0.02200000000000002,600,40,122.72539634724602
clingo,0.030000000000000034,700,41,136.3636363636364
duckdb,0.039574599999999995,300,42,131.91533333333317
xsb,0.0397188,300,43,100.36437512950226
clingo,0.04399999999999982,800,44,110.7787747867504
clingo,0.05400000000000005,900,45,122.72727272727334
souffle,0.05403539999999999,100,46,100.06555555555545
clingo,0.060000000000000095,1000,47,111.0383193239989
xsb,0.07344780000000001,400,48,122.41299999999981
duckdb,0.08632160000000001,400,49,117.52782248072782
neo4j,0.0957018,100,50,110.86657337213397
xsb,0.1175612,500,51,122.84115868249081
duckdb,0.11822199999999998,500,52,100.56209021343774
duckdb,0.1340808,700,53,113.41442371132277
xsb,0.1610502,600,54,120.11428929421662
duckdb,0.17594300000000002,600,55,109.24730301483638
souffle,0.17692979999999997,200,56,100.56086346146193
xsb,0.2230928,700,57,126.09113897150172
duckdb,0.2626828,800,58,117.74597835519567
xsb,0.301741,800,59,114.86895982531023
duckdb,0.3294986,900,60,109.19914761335052
xsb,0.375202,900,61,113.87059004196072
neo4j,0.39635260000000005,200,62,105.63712346949113
duckdb,0.40209599999999995,1000,63,101.44906328355103
souffle,0.4281956,300,64,106.49088774819946
xsb,0.45328500000000005,1000,65,105.85933157650382
souffle,0.8213594000000001,400,66,181.20153987005966
neo4j,0.8906672,300,67,108.43818187263699
souffle,1.34391,500,68,150.88800845029434
neo4j,1.6073262,400,69,119.60073219188784
souffle,1.9943259999999998,600,70,124.07724082392235
neo4j,2.501712,500,71,125.4414774715869
souffle,2.8015160000000003,700,72,111.98395338871943
neo4j,3.6549396,600,73,130.4629207900294
souffle,3.75514,800,74,102.74150631654761
neo4j,4.8493694000000005,700,75,129.1395101114739
souffle,4.926844,900,76,101.59762215681071
souffle,6.171436,1000,77,125.26144525785676
neo4j,6.3223252,800,78,102.44496094588034
neo4j,8.1093212,900,79,128.26485420269114
neo4j,9.9544396,1000,80,122.75305607576625
