environment,real_time,size,position,factor
xsb,0.0010139942169189466,50,1,
duckdb,0.0017938083852641284,50,2,176.9051889383227
duckdb,0.003679491812363267,100,3,205.12178684132317
xsb,0.004255962371826172,100,4,115.66712439815565
duckdb,0.006476149999070912,150,5,152.16652388522155
xsb,0.009948635101318349,150,6,153.61959038542358
postgres,0.014092766586691141,50,7,141.65527676076522
duckdb,0.014596483192872257,200,8,103.57429184030347
duckdb,0.01658917499007657,250,9,113.65186237584533
xsb,0.01774463653564452,200,10,106.96515375996172
duckdb,0.023423791804816574,300,11,132.00491178145046
xsb,0.0275226593017578,250,12,117.49873603341364
postgres,0.03202752500073984,100,13,116.36784312733299
duckdb,0.03314263338688761,350,14,103.48171888437214
xsb,0.0402141571044922,300,15,121.33663802467287
duckdb,0.043925258598756046,400,16,109.22834584005068
xsb,0.054126548767089847,350,17,123.2242005938303
postgres,0.05438907479401678,150,18,100.4850226606108
mariadb,0.056198525009676814,50,19,103.32686338665039
xsb,0.0738257884979248,400,20,131.36606073773777
postgres,0.07792967499699444,200,21,105.55887933277542
mariadb,0.10134095000103116,100,22,130.04154066463082
postgres,0.10418079998344183,250,23,102.80227290387725
postgres,0.14743845838820563,300,24,141.52171840841982
mariadb,0.15034682519035414,150,25,101.97259713235115
cockroachdb,0.19277635000180454,100,26,128.22109795649516
postgres,0.19898095801472665,350,27,103.21855248990035
cockroachdb,0.2047539331833832,150,28,102.9012701648714
mariadb,0.21190943338442594,200,29,103.4946826611795
cockroachdb,0.22384383338503538,50,30,105.63183989027954
cockroachdb,0.2506194913992658,200,31,111.96175816385944
cockroachdb,0.27917649161536245,250,32,111.39456474700206
postgres,0.2937948084087111,400,33,105.23622770268534
mariadb,0.29452055860310794,250,34,100.24702621476797
cockroachdb,0.34727975820424034,300,35,117.9135880535355
mariadb,0.39786517480388284,300,36,114.56618631077613
cockroachdb,0.4097518750000745,350,37,102.98762016606527
cockroachdb,0.477673266781494,400,38,116.57622476563583
mariadb,0.5081855919910595,350,39,106.38769789549956
mariadb,0.6537804420222528,400,40,128.6499366227122
