environment,real_time,size,position,factor
neo4j,0.002238460500052497,150,1,
neo4j,0.0027246829999967304,400,2,121.72129014261499
neo4j,0.0029086065000001327,350,3,106.7502714996065
neo4j,0.0032507320000831896,100,4,111.76252270917504
neo4j,0.003358037999987573,250,5,103.30097959172389
xsb,0.0035775899887084952,50,6,106.53810316386338
neo4j,0.0045749105000822965,300,7,127.87688121113712
xsb,0.01133835315704345,100,8,247.83770429693627
duckdb,0.013351340500094011,50,9,117.7537894187048
duckdb,0.016451706499992724,100,10,123.22138364965586
postgres,0.01787420850007493,50,11,108.64653159283407
neo4j,0.023274035499980528,200,12,130.21016007440534
duckdb,0.027471979999972973,150,13,118.03702885988963
neo4j,0.028458830499971555,50,14,103.59220740550754
xsb,0.03068792819976805,150,15,107.83271013121471
duckdb,0.035742166499858286,200,16,116.46979316162647
postgres,0.038742427999977735,100,17,108.3941791836579
xsb,0.046848416328430204,200,18,120.92276800116176
duckdb,0.05609692550001455,250,19,119.74134857995583
xsb,0.07217299938201904,250,20,128.65767372937458
duckdb,0.07334211099987442,300,21,101.61987395267744
postgres,0.07389074150000852,150,22,100.74804296284168
mariadb,0.07460940100031621,50,23,100.97259749424441
xsb,0.08359146118164065,300,24,112.03877803721593
duckdb,0.09918877549989702,350,25,118.65898035250761
duckdb,0.13041817749967777,400,26,131.48481452905241
xsb,0.13178503513336148,350,27,101.04805760967415
postgres,0.157082442500041,200,28,119.19596359410573
xsb,0.1679924726486205,400,29,106.94541667097941
mariadb,0.21344836499997655,100,30,127.05829114524276
postgres,0.2140075934999004,250,31,100.26199708764408
postgres,0.3035733804999836,300,32,141.85168644500686
cockroachdb,0.39788076449985965,50,33,131.06576203900102
postgres,0.41185291049987427,350,34,103.5116414882679
mariadb,0.4144864309998866,150,35,100.63943229072146
cockroachdb,0.43492407850021664,100,36,104.93083632461196
mariadb,0.4998024989999976,200,37,114.91718295374824
postgres,0.5317346330000419,400,38,106.38895044821382
cockroachdb,0.5922475304998898,150,39,111.38028139307661
cockroachdb,0.6254296464999243,200,40,105.60274450988878
mariadb,0.6703942609999558,250,41,107.18939608182406
mariadb,0.8077882074999252,300,42,120.49449920633771
cockroachdb,0.8897604914998283,250,43,110.14774457448497
mariadb,1.108132084500312,400,44,124.54273875797573
cockroachdb,1.2907452799997827,300,45,116.47937083076303
mariadb,1.3471494184998392,350,46,104.3698891930146
cockroachdb,1.3669317815001705,400,47,101.46846093897739
cockroachdb,1.424372893500049,350,48,104.20219302654874
