environment,cpu_time,size,position,factor
mariadb,0.00010930000000000661,200,1,
mariadb,0.00011664999999999592,400,2,106.72461116192942
mariadb,0.00013040000000000274,350,3,111.78739819974908
postgres,0.0001369499999999968,100,4,105.02300613496467
mariadb,0.00014100000000000223,300,5,102.95728368017929
mariadb,0.00014634999999998954,250,6,103.7943262411257
postgres,0.00015090000000000936,350,7,103.10898530920404
postgres,0.00015280000000000848,150,8,101.25911199469782
mariadb,0.0001538999999999846,150,9,100.71989528794245
postgres,0.00015964999999998342,300,10,103.73619233268316
mariadb,0.0001628499999999644,100,11,102.00438459128176
cockroachdb,0.00016330000000003286,350,12,100.27632790916093
postgres,0.00016559999999998798,200,13,101.40845070419758
cockroachdb,0.00016689999999996985,400,14,100.78502415457848
postgres,0.00017605000000001092,250,15,105.4823247453821
postgres,0.00017770000000000286,50,16,100.93723374041002
cockroachdb,0.00019774999999999654,100,17,111.28306133933224
cockroachdb,0.0002011500000000388,200,18,101.71934260431976
postgres,0.00020124999999998616,400,19,100.04971414364769
cockroachdb,0.0002031499999999853,300,20,100.94409937888162
cockroachdb,0.00020625000000001892,50,21,101.52596603496622
mariadb,0.00021234999999997228,50,22,102.95757575755286
cockroachdb,0.00021460000000000923,250,23,101.05957146222615
cockroachdb,0.00021820000000000173,150,24,101.67753960857053
neo4j,0.0007824000000000719,150,25,358.5701191567671
neo4j,0.0007959500000001007,250,26,101.73185071574994
neo4j,0.0008542000000000272,350,27,107.31829888811095
neo4j,0.000908550000000119,50,28,106.36267852962891
neo4j,0.000928299999999993,200,29,102.17379340706304
neo4j,0.0009534499999999113,400,30,102.70925347408364
neo4j,0.0009575499999998627,300,31,100.43001730556944
neo4j,0.0010039499999999757,100,32,104.84569996346089
xsb,0.006370999999999995,50,33,634.5933562428556
duckdb,0.013902100000000028,50,34,218.20907235912793
xsb,0.023461000000000003,100,35,168.75867674667825
duckdb,0.03267369999999997,100,36,139.26814713780303
xsb,0.03703,150,37,113.33274162399738
duckdb,0.05237359999999999,150,38,141.43559276262488
duckdb,0.07313804999999998,200,39,139.64678769456367
xsb,0.081342,200,40,111.21707510659637
xsb,0.0975885,250,41,119.97307663937448
duckdb,0.1328252,250,42,136.1074306911163
xsb,0.16954999999999998,300,43,127.64897022552948
duckdb,0.17489254999999998,300,44,103.15101739899734
xsb,0.2191665,350,45,125.31494337523239
duckdb,0.25861124999999996,350,46,117.99761824913935
xsb,0.267418,400,47,103.40540096380187
duckdb,0.42120150000000006,400,48,157.50678712726895
