environment,cpu_time,size,position,factor
postgres,2.3799999999996045e-05,100,1,
postgres,3.6600000000008845e-05,200,2,153.78151260510472
mariadb,8.099999999999774e-05,200,3,221.31147540977642
mariadb,0.00010060000000000624,300,4,124.1975308642087
mariadb,0.00010700000000001264,100,5,106.3618290258509
cockroachdb,0.00011139999999998373,300,6,104.11214953268278
mariadb,0.00011140000000000593,500,7,100.00000000001992
mariadb,0.00011339999999999683,400,8,101.79533213643698
mariadb,0.00012099999999999333,600,9,106.70194003527047
cockroachdb,0.00012099999999999333,700,10,100.0
cockroachdb,0.0001319999999999988,500,11,109.0909090909141
mariadb,0.00013900000000001135,800,12,105.30303030303986
cockroachdb,0.0001444000000000001,600,13,103.88489208632252
postgres,0.00014680000000000248,600,14,101.6620498614975
postgres,0.00014819999999998723,300,15,100.95367847410404
cockroachdb,0.0001511999999999958,400,16,102.02429149798166
mariadb,0.00015500000000000512,900,17,102.51322751323374
cockroachdb,0.00015739999999999643,800,18,101.54838709676852
mariadb,0.00016639999999999987,1000,19,105.71791613723232
cockroachdb,0.00016740000000000643,900,20,100.60096153846547
cockroachdb,0.00016999999999999237,200,21,101.55316606928663
postgres,0.00017059999999998742,400,22,100.3529411764677
postgres,0.00017079999999999317,700,23,100.11723329425894
postgres,0.00017260000000000054,900,24,101.05386416862261
postgres,0.00017459999999999142,500,25,101.15874855155901
postgres,0.00017720000000001068,1000,26,101.48911798397444
postgres,0.00018420000000000103,800,27,103.95033860044578
cockroachdb,0.00018719999999999848,100,28,101.6286644951126
mariadb,0.00018779999999999353,700,29,100.32051282051017
cockroachdb,0.00019319999999999337,1000,30,102.87539936102237
xsb,0.0066012,100,31,3416.7701863355214
duckdb,0.007993400000000006,100,32,121.09010482942506
duckdb,0.023313800000000006,200,33,291.6631220757123
xsb,0.0283024,200,34,121.39762715644808
duckdb,0.045193800000000006,300,35,159.68186443552491
xsb,0.06294380000000001,300,36,139.275298824175
duckdb,0.0814576,400,37,129.41322258903972
duckdb,0.0947856,500,38,116.36188642925889
xsb,0.112256,400,39,118.4314917033811
duckdb,0.16655539999999996,600,40,148.37104475484603
xsb,0.17993739999999997,500,41,108.03456387484285
duckdb,0.21060820000000002,800,42,117.04526129642868
duckdb,0.2222962,700,43,105.54964146695143
xsb,0.24971359999999998,600,44,112.33372410324603
xsb,0.3420944,700,45,136.99470112961413
duckdb,0.3854028,900,46,112.65978045825946
duckdb,0.38932700000000003,1000,47,101.01820744426352
xsb,0.4420364,800,48,113.53859352164118
xsb,0.6031726000000001,900,49,136.45315182188617
xsb,0.7113491999999999,1000,50,117.93460114070164
