environment,real_time,size,position,factor
duckdb,0.005926674988586456,100,1,
xsb,0.006670188903808594,100,2,112.54521155038857
duckdb,0.0123213752056472,200,3,184.72303233588855
duckdb,0.02438701639184728,300,4,197.92446853391894
xsb,0.02854914665222168,200,5,117.0669925073976
postgres,0.03577525019645691,100,6,125.31110170213404
duckdb,0.0449951000045985,400,7,125.77158722164492
xsb,0.06361989974975588,300,8,141.3929511063514
duckdb,0.06741110838484018,500,9,105.9591553114619
postgres,0.0804390501929447,200,10,119.32610532633568
duckdb,0.09894202499417588,600,11,123.00247797164327
mariadb,0.1020297666080296,100,12,103.12075845833506
xsb,0.11353898048400879,400,13,111.28025110573311
duckdb,0.12980017500231042,700,14,114.32212483235386
postgres,0.16081888320622967,300,15,123.89727764493932
duckdb,0.17178175821900368,800,16,106.81690781219734
xsb,0.1818809509277346,500,17,105.87908332842623
mariadb,0.21136635839939116,200,18,116.21137745391037
cockroachdb,0.21959112501936034,100,19,103.89123732000336
duckdb,0.22739292478654533,900,20,103.55287572141047
cockroachdb,0.24880269999848678,200,21,109.41532162095145
xsb,0.2525673866271972,600,22,101.51312129198489
duckdb,0.2732966167968698,1000,23,108.20740573297773
postgres,0.3136760831810534,400,24,114.77496020896447
xsb,0.3459991931915284,700,25,110.30461413655759
cockroachdb,0.34887315819505604,300,26,100.83062766043409
mariadb,0.41303640000987796,300,27,118.39156733833562
xsb,0.44695978164672845,800,28,108.21316998599619
cockroachdb,0.48064786681206895,400,29,107.53716252527776
postgres,0.49425057499902325,500,30,102.83007771930318
xsb,0.6095068454742434,900,31,123.31940038217415
cockroachdb,0.6808348916121758,500,32,111.70258327163391
mariadb,0.6901603416074067,400,33,101.36970800264787
xsb,0.7187887668609618,1000,34,104.14808321018252
postgres,0.7233584578032606,600,35,100.63574879755774
cockroachdb,0.8880027418024838,600,36,122.76109199016283
postgres,1.0488065836252645,700,37,118.10848483377181
mariadb,1.0671184915932828,500,38,101.74597568836019
cockroachdb,1.1869621581980028,700,39,111.23058662640031
postgres,1.2944620580063202,800,40,109.05672510836565
cockroachdb,1.5114816251792944,800,41,116.76523199970954
mariadb,1.5126395332161338,600,42,100.07660748351486
postgres,1.6632737583946438,900,43,109.95836892205477
cockroachdb,1.8898361331899651,900,44,113.6214723314095
postgres,2.168928066594526,1000,45,114.76804938285656
cockroachdb,2.376977383601479,1000,46,109.59226450205033
mariadb,10.391986999800428,700,47,437.19334779933837
mariadb,25.64077563340543,800,48,246.73602491898654
mariadb,39.986850566789506,900,49,155.95023777164394
mariadb,57.57795390019892,1000,50,143.99222015254048
