environment,cpu_time,size,position,factor
clingo,0.0,300,1,
clingo,0.0,100,2,
clingo,0.0,200,3,
clingo,0.0020000000000000018,500,4,inf
clingo,0.0020000000000000018,400,5,100.0
xsb,0.0026504,100,6,132.51999999999987
clingo,0.0040000000000000036,700,7,150.92061575611243
clingo,0.006000000000000005,600,8,150.0
clingo,0.009999999999999875,800,9,166.66666666666444
clingo,0.013999999999999879,1000,10,140.0000000000005
clingo,0.013999999999999967,900,11,100.00000000000063
xsb,0.0179648,200,12,128.3200000000003
souffle,0.0357756,100,13,199.1427680798005
xsb,0.0533578,300,14,149.14578651371326
xsb,0.13818460000000002,400,15,258.97731915483774
souffle,0.14762720000000001,200,16,106.83332296073513
xsb,0.2458712,500,17,166.54871189049172
xsb,0.39569259999999995,600,18,160.93491226300597
souffle,0.41334040000000005,300,19,104.45997726518013
xsb,0.6117708000000001,700,20,148.00653408183666
xsb,0.9667876,800,21,158.03101422951207
souffle,1.0184260000000003,400,22,105.34123524132914
xsb,1.4705948,900,23,144.39878793353662
souffle,1.7314640000000001,500,24,117.7390264129861
xsb,1.7525655999999998,1000,25,101.21871433653831
souffle,2.857268,600,26,163.03344080244415
souffle,4.564864,700,27,159.7632423699842
souffle,7.119124000000001,800,28,155.95478857639574
souffle,10.834079999999998,900,29,152.18276855410858
souffle,13.250040000000002,1000,30,122.29963227149887
