environment,real_time,size,position,factor
clingo,0.0,100,1,
clingo,0.0,200,2,
clingo,0.0,400,3,
clingo,0.0019999980926513673,300,4,inf
xsb,0.002675867080688476,100,5,133.79348162983092
clingo,0.005999994277954101,600,6,224.22617032271864
clingo,0.006000041961669922,500,7,100.00079472935492
clingo,0.007999992370605469,700,8,133.33227370261466
clingo,0.010000085830688477,800,9,125.00119209403238
clingo,0.012000036239624024,900,10,119.99933243370829
clingo,0.017999982833862303,1000,11,149.99940395535228
xsb,0.01805219650268558,200,12,100.29007621454534
souffle,0.03581222,100,13,198.3815099435257
xsb,0.053560829162597655,300,14,149.56020364724012
xsb,0.1386850357055662,400,15,258.9299640686147
souffle,0.14774539999999997,200,16,106.53305113153613
xsb,0.2466351985931398,500,17,166.93257359832512
xsb,0.396747589111328,600,18,160.8641391717247
souffle,0.4139906,300,19,104.34609090562957
xsb,0.613508367538452,700,20,148.19379172823054
xsb,0.9697365283966066,800,21,158.0641079578801
souffle,1.019834,400,22,105.16609100888734
xsb,1.4782182693481438,900,23,144.94694914546326
souffle,1.7344540000000002,500,24,117.33409307441786
xsb,1.7578246593475337,1000,25,101.34743610078638
souffle,2.8623839999999996,600,26,162.83671894001387
souffle,4.572705999999999,700,27,159.75166155204892
souffle,7.131648,800,28,155.96121858698112
souffle,10.85244,900,29,152.17296198578504
souffle,13.273659999999998,1000,30,122.31037444113949
