environment,real_time,size,position,factor
xsb,0.000387859344482422,100,1,
xsb,0.001438999176025392,200,2,371.0105729038605
xsb,0.0030824184417724597,300,3,214.20571277089243
duckdb,0.004157908202614635,100,4,134.89110194343843
duckdb,0.005840533401351422,200,5,140.46806992224344
xsb,0.006171989440917968,400,6,105.67509877590722
duckdb,0.007895741611719131,300,7,127.92863123474152
postgres,0.008552999992389232,100,8,108.32421339237564
xsb,0.009406423568725588,500,9,109.97806123109743
duckdb,0.012225458200555294,400,10,129.96925038760122
xsb,0.013068675994873019,600,11,106.89722855769467
duckdb,0.01671591679332778,600,12,127.90826553421029
duckdb,0.016961183201055975,500,13,101.46726267401675
xsb,0.01826376914978026,700,14,107.67980590318244
duckdb,0.019738791778218003,700,15,108.07622247270623
postgres,0.019859174790326506,200,16,100.60988034861053
xsb,0.02440738677978514,800,17,122.90232115623499
duckdb,0.0272653667954728,800,18,111.70948795737002
xsb,0.032740592956542955,900,19,120.08124886836025
duckdb,0.03369046659208834,900,20,102.90121085102571
postgres,0.034580941416788843,300,21,102.64310623976225
xsb,0.037561845779418936,1000,22,108.620078692198
duckdb,0.038413491600658746,1000,23,102.26731621827395
postgres,0.05142892518779263,400,24,133.88245391083032
mariadb,0.05185799999162555,100,25,100.83430637966116
postgres,0.0680889750015922,500,26,131.29888351380262
mariadb,0.09687914159148932,200,27,142.2831546358627
postgres,0.10926061699865386,600,28,112.78033145604608
mariadb,0.14176384140737355,300,29,129.74834418985583
postgres,0.1619021835969761,700,30,114.2055562191863
mariadb,0.1940730749629438,400,31,119.87057286765868
cockroachdb,0.21927670821314676,300,32,112.9866717755749
postgres,0.22597009161254392,800,33,103.05248261611575
cockroachdb,0.2339585918118246,100,34,103.53520244306402
cockroachdb,0.24557150001637637,400,35,104.96365964362282
cockroachdb,0.24677634179824964,200,36,100.490627691647
mariadb,0.24978779160883277,500,37,101.22031544378962
cockroachdb,0.255696374818217,500,38,102.36544114959672
postgres,0.2732827329891734,900,39,106.87782851182742
cockroachdb,0.27473313339287414,600,40,100.53073254494942
cockroachdb,0.3131629248149693,700,41,113.98804394195139
mariadb,0.3205242079682648,600,42,102.35062409052568
postgres,0.33849039159249517,1000,43,105.60525014260675
cockroachdb,0.36518119979882613,800,44,107.88524840565157
cockroachdb,0.4004197329981253,900,45,109.64960222999203
mariadb,0.4051448749611154,700,46,101.1800472288443
cockroachdb,0.44868976639118047,1000,47,110.74798032043338
mariadb,0.5253504670225084,800,48,117.0854577869942
mariadb,0.6635352917946875,900,49,126.303360032277
mariadb,0.7487121247686446,1000,50,112.83682029083582
