environment,real_time,size,position,factor
xsb,0.0003244876861572265,50,1,
xsb,0.00102555751800537,100,2,316.0543717854516
neo4j,0.001576469500150779,300,3,153.71829199954482
neo4j,0.001694272500117222,150,4,107.4725835136789
neo4j,0.0017675875001259556,100,5,104.327225992493
neo4j,0.0017926565001289418,250,6,101.41826076509366
neo4j,0.001816985499999646,50,7,101.35714789023744
neo4j,0.0018416594998598157,400,8,101.35796349834243
neo4j,0.001851333000104205,200,9,100.52525997586012
xsb,0.0020880699157714852,150,10,112.78737621238078
xsb,0.0036404132843017548,200,11,174.34345741036745
xsb,0.004866123199462891,250,12,133.66952649158438
postgres,0.0053353094999692985,50,13,109.6418911168997
postgres,0.007492978999948718,100,14,140.4413183526061
xsb,0.009259939193725586,350,15,123.5815447205839
xsb,0.009443521499633789,300,16,101.9825433198589
postgres,0.012815523999961442,150,17,135.7070453056989
xsb,0.014851093292236349,400,18,115.88362124155853
neo4j,0.017057855999837557,350,19,114.8592609592913
duckdb,0.01771673700000065,50,20,103.86262494049292
duckdb,0.020611578000170994,100,21,116.33958330007516
postgres,0.024669772000038392,250,22,119.68890494378321
duckdb,0.025065595999876678,150,23,101.60448989896489
postgres,0.026584087000060208,200,24,106.0580685980537
duckdb,0.029993721499977255,200,25,112.825847658072
mariadb,0.0344167835000917,50,26,114.74662622348413
duckdb,0.03905027850009901,250,27,113.46289376517412
duckdb,0.039119085499805806,300,28,100.17620104734111
postgres,0.04068867400008003,300,29,104.01233433813788
duckdb,0.04201502099977006,350,30,103.25974495921746
postgres,0.049039017000040985,350,31,116.71782099147198
duckdb,0.054496394500120005,400,32,111.12864374927102
postgres,0.06601183700001911,400,33,121.13065021186631
mariadb,0.06619251600000098,100,34,100.27370697164784
mariadb,0.10343507800007501,150,35,156.26400724830202
mariadb,0.18129201800002193,200,36,175.27131173033047
mariadb,0.21921250549985416,250,37,120.91679927123302
cockroachdb,0.2382971119998274,150,38,108.70598438554224
cockroachdb,0.24649696050005332,50,39,103.44101883208381
cockroachdb,0.26439776500001244,100,40,107.26207920115722
cockroachdb,0.30056685199997446,200,41,113.67980058377584
cockroachdb,0.3053762945000926,250,42,101.60012405497017
mariadb,0.31114623200005553,300,43,101.88945167122694
cockroachdb,0.3164863704998879,350,44,101.71627934090857
mariadb,0.32641813549980725,350,45,103.13813355824206
cockroachdb,0.35550310450003053,300,46,108.91034101266732
mariadb,0.38739952400010225,400,47,108.97219154947464
cockroachdb,0.5930226765001407,400,48,153.07780205222562
