environment,cpu_time,size,position,factor
postgres,2.9200000000006998e-05,300,1,
postgres,3.2599999999993745e-05,600,2,111.64383561639018
postgres,3.340000000000565e-05,400,3,102.45398773009833
postgres,3.719999999999279e-05,100,4,111.37724550894161
postgres,3.819999999999934e-05,200,5,102.68817204302889
postgres,3.92000000000059e-05,500,6,102.61780104713762
mariadb,4.020000000000134e-05,100,7,102.55102040815125
mariadb,9.280000000001509e-05,400,8,230.84577114430843
mariadb,9.320000000000439e-05,900,9,100.43103448274702
mariadb,9.500000000001174e-05,500,10,101.9313304721108
mariadb,9.52000000000064e-05,300,11,100.21052631578382
mariadb,9.740000000000305e-05,200,12,102.31092436974423
mariadb,0.00010100000000000664,600,13,103.69609856263192
mariadb,0.00010639999999999539,700,14,105.34653465345384
mariadb,0.00011100000000000554,800,15,104.32330827068643
mariadb,0.00011239999999999029,1000,16,101.26126126124745
cockroachdb,0.00011840000000001849,700,17,105.3380782918405
cockroachdb,0.0001267999999999936,800,18,107.09459459457247
cockroachdb,0.00013460000000000693,400,19,106.15141955837043
cockroachdb,0.00013659999999999785,1000,20,101.48588410103329
cockroachdb,0.00014039999999998498,500,21,102.78184480233324
postgres,0.00014460000000000585,700,22,102.99145299146817
cockroachdb,0.00015019999999998923,600,23,103.87275242045861
cockroachdb,0.00016079999999998317,300,24,107.05725699067557
postgres,0.00016080000000000537,900,25,100.00000000001381
cockroachdb,0.00016300000000001312,900,26,101.36815920398487
postgres,0.00016340000000000243,800,27,100.24539877299956
cockroachdb,0.00016399999999998637,100,28,100.36719706241367
cockroachdb,0.00016819999999999612,200,29,102.56097560976225
postgres,0.00018959999999998978,1000,30,112.72294887038892
xsb,0.00040520000000000025,100,31,213.713080168788
xsb,0.0014294,200,32,352.7640671273443
xsb,0.0029746,300,33,208.10130124527774
xsb,0.005651399999999999,400,34,189.98856989175013
duckdb,0.006940399999999991,100,35,122.80850762642869
xsb,0.0083978,500,36,120.99878969511862
duckdb,0.010843800000000004,200,37,129.12667603419948
xsb,0.0114882,600,38,105.94256625906044
duckdb,0.015184800000000009,300,39,132.17736460019853
xsb,0.0157244,700,40,103.55355355355348
xsb,0.021022400000000004,800,41,133.69285950497317
duckdb,0.022466600000000003,400,42,106.86981505441815
duckdb,0.022980200000000017,500,43,102.28606019602438
xsb,0.0279042,900,44,121.42714162626949
duckdb,0.03144300000000001,600,45,112.68196185520463
xsb,0.031702,1000,46,100.82371275005562
duckdb,0.037115199999999994,900,47,117.07526339032235
duckdb,0.042729,700,48,115.12533948355394
duckdb,0.04571679999999999,800,49,106.99244073111936
duckdb,0.06689220000000001,1000,50,146.31863997480144
