environment,real_time,size,position,factor
clingo,0.0,100,1,
clingo,0.0,200,2,
xsb,0.000424814224243164,100,3,inf
xsb,0.0014993190765380878,200,4,352.9352340330008
clingo,0.0019999980926513673,400,5,133.3937601373913
clingo,0.0020000457763671873,300,6,100.00238418806475
xsb,0.003149604797363282,300,7,157.47663551401874
clingo,0.0039999961853027345,500,8,126.999939441652
duckdb,0.005207324982620776,100,9,130.1832487179401
duckdb,0.005715791799593717,200,10,109.76445331662472
xsb,0.0059512615203857425,400,11,104.11963432273308
clingo,0.006000041961669922,600,12,100.81966556363025
souffle,0.007696984,100,13,128.282169510991
clingo,0.007999992370605469,700,14,103.93671560971765
duckdb,0.008258408401161432,300,15,103.23020346251161
xsb,0.008671760559082031,500,16,105.00522785797885
postgres,0.009925850189756603,100,17,114.46176496837369
clingo,0.009999990463256836,1000,18,100.74694129049766
clingo,0.009999990463256836,800,19,100.0
duckdb,0.011028116580564528,400,20,110.281270978061
clingo,0.011999988555908203,900,21,108.81267411569134
xsb,0.0120234489440918,600,22,100.1955034213099
duckdb,0.013075758202467114,500,23,108.75214144683841
xsb,0.01659402847290038,700,24,126.9068165375637
duckdb,0.016846683400217444,600,25,101.5225653477073
postgres,0.021462525217793883,200,26,127.39911297624826
duckdb,0.021980366413481535,700,27,102.41276918923931
xsb,0.022298240661621102,800,28,101.44617356307855
souffle,0.025922499999999998,200,29,116.25356633905577
duckdb,0.028154966805595906,800,30,108.61208141805731
xsb,0.0293178081512451,900,31,104.13014639185465
duckdb,0.03320607540663332,900,32,113.26247595089434
xsb,0.03339295387268066,1000,33,100.56278395973892
postgres,0.036292500200215724,300,34,108.68310823472022
duckdb,0.038034966797567904,1000,35,104.8011754156905
souffle,0.046624979999999996,300,36,122.58451610632501
mariadb,0.05308889981824905,100,37,113.86364094579568
postgres,0.053406333026941866,400,38,100.59792764547683
postgres,0.06826875020051375,500,39,127.82894149664656
souffle,0.0736531,400,40,107.88699043657859
souffle,0.09924538000000001,500,41,134.7470507011925
mariadb,0.10421319156885148,200,42,105.00558471220671
postgres,0.10523128320928662,600,43,100.97693163898786
souffle,0.131321,600,44,124.79273842819676
mariadb,0.14946644175797702,300,45,113.81762380577139
postgres,0.16278023340273648,700,46,108.90754572609534
souffle,0.17232340000000002,700,47,105.86260776125852
postgres,0.19774932499276474,800,48,114.75477212773467
mariadb,0.20921716680750252,400,49,105.79918126909276
cockroachdb,0.2217386749922298,300,50,105.9849334429847
souffle,0.2275474,800,51,102.61962646253468
cockroachdb,0.23040744180325418,400,52,101.25689935514717
cockroachdb,0.2415829916135408,200,53,104.85034238600221
cockroachdb,0.2564187915879302,500,54,106.14107801021116
cockroachdb,0.2619581413920969,100,55,102.16027451415049
mariadb,0.27861387515440583,500,56,106.35816610768312
cockroachdb,0.2848714418010786,600,57,102.24596375295553
postgres,0.28681624158052726,900,58,100.68269383801788
souffle,0.2952864,900,59,102.95316554348429
cockroachdb,0.31683659182162954,700,60,107.29806446271468
souffle,0.3352012,1000,61,105.79623965552226
postgres,0.3494617750053294,1000,62,104.25433292163913
cockroachdb,0.3517914829775691,800,63,100.6666560233102
mariadb,0.3660541917895898,600,64,104.05430759474359
cockroachdb,0.4034206495853141,900,65,110.20790326509982
cockroachdb,0.4602495418046601,1000,66,114.08675839418775
mariadb,0.46593740817625073,700,67,101.23582227790781
mariadb,0.6019982666242868,800,68,129.2015313774867
mariadb,0.7818774581886828,900,69,129.88035041580287
mariadb,0.8586470832349733,1000,70,109.81862621083064
