environment,cpu_time,size,position,factor
postgres,3.319999999998879e-05,100,1,
postgres,3.500000000000725e-05,200,2,105.42168674704537
postgres,3.7199999999981694e-05,50,3,106.28571428563998
postgres,3.80000000000047e-05,150,4,102.1505376344715
mariadb,3.8599999999999746e-05,50,5,101.57894736840782
mariadb,8.500000000002394e-05,100,6,220.20725388607386
mariadb,0.0001264000000000043,150,7,148.70588235290433
mariadb,0.00014260000000001493,250,8,112.81645569621051
mariadb,0.00014420000000000543,400,9,101.12201963533684
mariadb,0.00015100000000000112,300,10,104.71567267683457
mariadb,0.00015640000000000098,200,11,103.57615894039722
postgres,0.00015739999999999643,300,12,100.63938618925539
mariadb,0.00016180000000000084,350,13,102.79542566709307
postgres,0.0001672000000000118,400,14,103.33745364648388
postgres,0.00017359999999999598,250,15,103.82775119616252
cockroachdb,0.00018060000000000854,400,16,104.03225806452345
cockroachdb,0.00018199999999999328,200,17,100.77519379844114
cockroachdb,0.00018480000000000718,50,18,101.53846153846924
cockroachdb,0.00018580000000000262,350,19,100.54112554112305
cockroachdb,0.00019339999999998803,250,20,104.09041980623537
cockroachdb,0.00020000000000001129,300,21,103.41261633920563
postgres,0.00022700000000001053,350,22,113.49999999999886
cockroachdb,0.00022820000000001173,150,23,100.52863436123398
cockroachdb,0.00024099999999999122,100,24,105.60911481155952
xsb,0.0007096000000000003,50,25,294.4398340249071
duckdb,0.0014357999999999981,50,26,202.3393461104844
duckdb,0.005011799999999999,100,27,349.05975762641077
xsb,0.0051978,100,28,103.71124147013052
duckdb,0.008788600000000002,150,29,169.083073608065
xsb,0.017366200000000002,150,30,197.59916255148713
duckdb,0.018164800000000016,200,31,104.59858806186739
duckdb,0.030665200000000004,250,32,168.81661234915867
xsb,0.041031399999999996,200,33,133.80444282117838
xsb,0.08100199999999999,250,34,197.41466291669306
duckdb,0.0884322,300,35,109.17285992938449
duckdb,0.095471,350,36,107.9595441479461
duckdb,0.126104,400,37,132.0861832388893
xsb,0.1383336,300,38,109.69802702531244
xsb,0.21756960000000003,350,39,157.27892572737213
xsb,0.32343740000000004,400,40,148.65927960523896
