environment,real_time,size,position,factor
xsb,0.00158846378326416,50,1,
neo4j,0.002731046500002776,150,2,171.9300451654431
neo4j,0.002801138999984687,250,3,102.56650701413687
neo4j,0.0031748110000080487,350,4,113.34000205007338
neo4j,0.0037743454997780645,300,5,118.88410049506871
duckdb,0.008647366499872078,50,6,229.10903361604156
xsb,0.0107400417327881,100,7,124.20014501463514
postgres,0.010971088000133022,50,8,102.15126042424552
duckdb,0.012652538999873286,100,9,115.32620100868644
neo4j,0.01963004300000648,100,10,155.14706574074242
neo4j,0.02182839650004098,200,11,111.19892350736966
neo4j,0.023223027999961232,50,12,106.38906985182184
duckdb,0.024046314500310473,150,13,103.54512986140574
neo4j,0.02804638799989334,400,14,116.63487142502116
xsb,0.0406539440155029,150,15,144.95251230089775
mariadb,0.04882597400023769,50,16,120.10144447883945
duckdb,0.05826754750000873,200,17,119.33719437880559
duckdb,0.0765995329998077,250,18,131.4617420611297
xsb,0.10071134567260731,200,19,131.47775414356656
duckdb,0.13811193600008664,300,20,137.13642199664503
mariadb,0.15193092650019935,100,21,110.00564534849764
xsb,0.165897488594055,250,22,109.19270514277903
postgres,0.19385815099997217,100,23,116.85418064063396
duckdb,0.2228639695001675,350,24,114.96239304387026
postgres,0.22668253099993763,150,25,101.71340459758223
cockroachdb,0.2621817855001609,100,26,115.66033974635349
xsb,0.2961424589157105,300,27,112.95310173846107
postgres,0.3395071809999308,200,28,114.643196468009
cockroachdb,0.3501333969998086,50,29,103.12989432759008
duckdb,0.35058639749991016,400,30,100.12937940338831
mariadb,0.3721744420001869,150,31,106.15769597857323
cockroachdb,0.4060597810002946,150,32,109.10469263230351
postgres,0.4317365699998845,250,33,106.32340118401711
xsb,0.461505889892578,350,34,106.89525093802025
postgres,0.6514575704999288,300,35,141.15910214094228
xsb,0.692404508590698,400,36,106.28543437746015
cockroachdb,0.710792485499951,200,37,102.65566972501081
mariadb,0.8982189310002013,200,38,126.36865883133528
postgres,0.9427634285000295,350,39,104.95920270242203
mariadb,1.292129680500011,250,40,137.05767973582047
postgres,1.3809434419999889,400,41,106.87344024677228
cockroachdb,1.4113644095000382,250,42,102.20291190608005
mariadb,1.536037521499793,300,43,108.83351678422434
cockroachdb,1.7018389664999631,300,44,110.79410122991533
mariadb,2.45174166049992,350,45,144.06425688690288
cockroachdb,2.6217079615000785,350,46,106.9324718724852
cockroachdb,3.1970034814999053,400,47,121.94353941964826
mariadb,3.7406727025002056,400,48,117.00558739289306
