environment,real_time,size,position,factor
neo4j,0.0024542650000967114,150,1,
xsb,0.00272011756896973,50,2,110.83226827023742
neo4j,0.002732235499934177,350,3,100.44549291187575
neo4j,0.002750396500005081,300,4,100.66469380371281
neo4j,0.0031523969998943357,250,5,114.61609262113706
postgres,0.011282412500008832,50,6,357.899480946943
duckdb,0.012513540499867304,100,7,110.91192154033997
duckdb,0.015514705499981574,50,8,123.98334028763558
neo4j,0.016891946999976426,100,9,108.87700704339176
xsb,0.01961135864257815,100,10,116.09886440328945
neo4j,0.019839408499933597,50,11,101.16284578499489
neo4j,0.020858407999980955,200,12,105.13623931908438
neo4j,0.023900143500213744,400,13,114.58277880188923
duckdb,0.028068100000155027,150,14,117.43904382793353
mariadb,0.051861329000075784,50,15,184.76964596744824
duckdb,0.06350871049994566,200,16,122.45870232105477
xsb,0.06362867355346676,150,17,100.18889228355722
duckdb,0.09728761850010414,250,18,152.89902031095147
duckdb,0.15049504599983266,300,19,154.6908520529481
xsb,0.158581495285034,200,20,105.37323287386506
mariadb,0.16410264050000478,100,21,103.48158226471953
postgres,0.17032634999998209,100,22,103.79257121092888
postgres,0.24693641049998405,150,23,144.97839617887075
duckdb,0.25190472100007355,350,24,102.01197971981124
cockroachdb,0.2778485100002399,100,25,110.29904834540945
xsb,0.31622254848480247,250,26,113.81113704173885
cockroachdb,0.31876497900020695,50,27,100.80400038757094
postgres,0.33363630900009866,200,28,104.66529605809743
duckdb,0.3732222914998147,400,29,111.86501032167465
cockroachdb,0.37987663199987765,150,30,101.78294294087368
mariadb,0.3932488260002174,150,31,103.52014124426165
postgres,0.5151890224999534,250,32,131.00840700276333
xsb,0.534880876541138,300,33,103.82225808027314
cockroachdb,0.6904097135000029,200,34,129.07728501430225
postgres,0.8504246814999306,300,35,123.17681296642517
mariadb,0.8952786479999304,200,36,105.27430206057625
xsb,0.8970949649810795,350,37,100.20287728130306
mariadb,1.1300389054999869,250,38,125.9664750792376
cockroachdb,1.286273754999911,250,39,113.825616865005
xsb,1.305274367332455,400,40,101.47718261829459
postgres,1.418091507500094,350,41,108.64317441536828
mariadb,1.8146035014999597,300,42,127.96095963502832
postgres,1.9936475910001263,400,43,109.8668436025924
cockroachdb,2.115213102000098,300,44,106.09764291085104
cockroachdb,2.218723379500034,350,45,104.89360988744154
mariadb,2.5906051404999744,350,46,116.76106920024164
cockroachdb,3.1694901845000913,400,47,122.34555297332557
mariadb,3.9739307530001042,400,48,125.38075594725002
