environment,real_time,size,position,factor
duckdb,0.0030524251982569695,100,1,
xsb,0.008069324493408202,100,2,264.3578128635565
duckdb,0.018716941587626934,200,3,231.95177741230663
postgres,0.03362167540472001,100,4,179.63231464560448
duckdb,0.05734334200387821,300,5,170.55468329168392
xsb,0.06493892669677737,200,6,113.24580051923981
mariadb,0.07232810818823054,100,7,111.37866279489937
postgres,0.1152372254175134,200,8,159.32564573321048
duckdb,0.13935144160641358,400,9,120.92571745070441
xsb,0.2169729709625246,300,10,155.7019923592513
cockroachdb,0.2214457666152157,100,11,102.06145292330613
duckdb,0.26288155019283294,500,12,118.71148146607655
mariadb,0.2642868082039058,200,13,100.53455938997699
cockroachdb,0.3089138170122169,200,14,116.88582533180387
postgres,0.3271080500097014,300,15,105.88974399832848
xsb,0.5092742443084717,400,16,155.68991478301058
duckdb,0.5225904167979024,600,17,102.61473511339894
cockroachdb,0.6578345497953706,300,18,125.8795662243784
postgres,0.7713061252026818,400,19,117.24925749834945
mariadb,0.7726910996017977,300,20,100.17956221970259
duckdb,0.7953058500192128,700,21,102.92675176782411
xsb,1.004530668258667,500,22,126.30746627029083
duckdb,1.2566270165960305,800,23,125.0959334844766
cockroachdb,1.31842830858659,400,24,104.91802986680707
postgres,1.5593951500020922,500,25,118.27682550853513
xsb,1.6907366275787339,600,26,108.42259112941741
duckdb,1.7269428664119915,900,27,102.14144759406483
mariadb,1.7700518668047152,400,28,102.49626094940186
duckdb,2.364006024796981,1000,29,133.55574879647273
cockroachdb,2.3799331583781167,500,30,100.67373489805311
xsb,2.674916982650756,700,31,112.39462643033495
postgres,2.790955550200306,600,32,104.33802500422125
mariadb,3.3847529329825194,500,33,121.27577355144896
xsb,3.990213680267332,800,34,117.88788603696705
cockroachdb,4.104289575177245,600,35,102.85889188025314
postgres,4.731336241797544,700,36,115.27783688589321
xsb,5.723679876327513,900,37,120.97385566816014
mariadb,5.743600808409974,600,38,100.34804413441869
cockroachdb,6.308839850197546,700,39,109.84119650098123
postgres,7.666067091596778,800,40,121.51310341721123
xsb,7.838624429702759,1000,41,102.25092392284346
mariadb,9.411303216801025,700,42,120.06319860330268
cockroachdb,9.534210516803432,800,43,101.30595409765348
postgres,11.085720850003417,900,44,116.27308659133915
cockroachdb,13.767673083394765,900,45,124.19285375917184
mariadb,13.812443983391859,800,46,100.3251885756286
postgres,16.49355118359672,1000,47,119.41080958177012
cockroachdb,18.12702109159436,1000,48,109.90368835561728
mariadb,19.155091742007063,900,49,105.67148151490497
mariadb,1304.0135120748077,1000,50,6807.659966540958
