environment,cpu_time,size,position,factor
clingo,0.0020000000000000018,100,1,
clingo,0.014000000000000012,200,2,700.0
clingo,0.024000000000000025,300,3,171.42857142857147
clingo,0.04799999999999969,400,4,199.9999999999985
clingo,0.0779999999999987,500,5,162.49999999999832
xsb,0.09734019999999999,100,6,124.79512820513028
clingo,0.11600000000000228,600,7,119.16967501608
clingo,0.16,700,8,137.93103448275593
clingo,0.2080000000000036,800,9,130.00000000000225
clingo,0.264,900,10,126.92307692307475
clingo,0.3519999999999841,1000,11,133.33333333332732
souffle,0.6201072,100,12,176.16681818182613
xsb,0.7646597999999999,200,13,123.3109049532081
xsb,2.522678,300,14,329.90854233477427
souffle,4.8246780000000005,200,15,191.25223274631168
xsb,6.0412268000000005,400,16,125.21512938272772
xsb,11.578529,500,17,191.6585717324832
souffle,15.861160000000002,300,18,136.98769506903685
xsb,19.9520556,600,19,125.7919067710054
xsb,31.928411599999997,700,20,160.02567474801944
souffle,39.852419999999995,400,21,124.81804763504114
xsb,47.684265599999996,800,22,119.65212049857952
xsb,66.05529820000001,900,23,138.5264035606748
souffle,77.29784,500,24,117.01989409836617
xsb,90.5644804,1000,25,117.16301568064516
souffle,132.69580000000002,600,26,146.52079867727042
souffle,216.7926,700,27,163.3756305776068
souffle,332.5596,800,28,153.39988542044333
souffle,477.6094,900,29,143.61618188138308
souffle,649.059,1000,30,135.89745092956713
