environment,real_time,size,position,factor
clingo,0.0019999980926513673,100,1,
xsb,0.004955005645751952,100,2,247.75051856090406
clingo,0.009999990463256836,200,3,201.81592470696924
duckdb,0.019246842002030463,100,4,192.46860357266857
xsb,0.02030463218688964,200,5,105.49591556239504
clingo,0.026000022888183594,300,6,128.04971126229697
xsb,0.04639101028442384,300,7,178.42680556065002
duckdb,0.04960389179177582,200,8,106.92565539671106
clingo,0.05,400,9,100.798542602034
postgres,0.050591449998319146,100,10,101.18289999663827
souffle,0.07058347999999999,100,11,139.51661793118217
clingo,0.0820000171661377,500,12,116.1745172753422
xsb,0.0843867778778076,400,13,102.91068318538782
duckdb,0.08738652499159798,300,14,103.55475963086779
clingo,0.12000002861022949,600,15,137.3209755414433
xsb,0.1376051902770996,500,16,114.67096455789458
duckdb,0.14328304962255062,400,17,104.12619562824435
clingo,0.16599998474121094,700,18,115.85458655333159
duckdb,0.20120203340193257,500,19,121.2060553593427
xsb,0.20166959762573242,600,20,100.23238543661526
clingo,0.209999942779541,800,21,104.13068962891889
mariadb,0.21600307498592883,100,22,102.85863516291047
souffle,0.23095020000000002,200,23,106.91986677275077
postgres,0.24869315839605405,200,24,107.68259061739458
cockroachdb,0.2677182918181643,100,25,107.65004294642154
clingo,0.26800003051757815,900,26,100.10523700024396
duckdb,0.2841136080096476,600,27,106.0125282302953
xsb,0.286094045639038,700,28,100.69705835044802
duckdb,0.34045147520955654,700,29,118.99984651868665
clingo,0.3580000400543213,1000,30,105.15449810695141
xsb,0.3830055713653566,800,31,106.98478450092941
duckdb,0.465240750007797,800,32,121.47101368507107
cockroachdb,0.468862416583579,200,33,100.77844999083192
xsb,0.4792084217071532,900,34,102.20661856391938
souffle,0.519214,300,35,108.34826277683709
duckdb,0.5728003668133169,900,36,110.32067063163107
xsb,0.6148792266845702,1000,37,107.34616496587672
mariadb,0.6476330165984109,200,38,105.32686558471802
duckdb,0.660284125211183,1000,39,101.95343787122219
postgres,0.6687914500012994,300,40,101.2884339430992
neo4j,0.7726433167990763,100,41,115.5282886462701
cockroachdb,0.7847177419927902,300,42,101.56274246229633
souffle,0.9399558000000001,400,43,119.78266193051567
postgres,1.1652802829979918,400,44,123.97181686606878
cockroachdb,1.2573333833832294,400,45,107.89965313309915
souffle,1.487292,500,46,118.28939083745622
postgres,1.8244078915915451,500,47,122.66642270593435
cockroachdb,1.8420477084000595,500,48,100.96687900166481
mariadb,1.885683475015685,300,49,102.36887277222183
souffle,2.161724,600,50,114.63875187122903
postgres,2.6598712333943695,600,51,123.0439794069164
souffle,2.9855240000000003,700,52,112.24317788459453
neo4j,3.2468341832107397,200,53,108.75257352514129
postgres,3.705717966798693,700,54,114.13326821433705
souffle,3.9297039999999996,800,55,106.04433567821687
postgres,4.966204825392924,800,56,126.37605339722595
souffle,5.026266,900,57,101.20939785447378
postgres,6.263408558396622,900,58,124.61355126045106
souffle,6.317884,1000,59,100.86974114965483
mariadb,6.605111608188599,400,60,104.54626277070929
neo4j,7.274441133404617,300,61,110.13350818154572
postgres,7.767165766377002,1000,62,106.77336751973658
cockroachdb,9.629859274998307,600,63,123.98163712025627
mariadb,12.710034225019626,500,64,131.98566938582664
neo4j,13.10650461659534,400,65,103.1193495198877
neo4j,20.31429286659695,500,66,154.9939778823652
mariadb,21.01279040861409,600,67,103.43845363756515
cockroachdb,24.082580566604157,700,68,114.60915041884023
neo4j,29.46753631659667,600,69,122.36037676734672
mariadb,32.21158320840914,700,70,109.31210150156654
cockroachdb,39.673220183409285,800,71,123.16445275826186
neo4j,40.01871732500731,700,72,100.87085731886847
mariadb,42.39028225000948,800,73,105.9261392756339
neo4j,54.97457448320347,800,74,129.68673848165088
mariadb,55.34138327515684,900,75,100.66723352641039
cockroachdb,56.57979265039321,900,76,102.23776368053362
neo4j,69.93460194159998,900,77,123.60349634670136
mariadb,71.47547184999567,1000,78,102.20330117798113
cockroachdb,76.47439557478064,1000,79,106.99390097805319
neo4j,86.64342634999193,1000,80,113.29730127159681
