environment,real_time,size,position,factor
neo4j,0.0017629789999773493,300,1,
neo4j,0.0018341035001867567,200,2,104.03433621219091
neo4j,0.0018525704999774462,350,3,101.00686792151092
neo4j,0.002428533000056632,50,4,131.08990994330298
neo4j,0.0024549790000492067,250,5,101.0889701721969
xsb,0.003010988235473635,50,6,122.64822776134882
neo4j,0.003358965499955957,400,7,111.55691212548308
neo4j,0.00434875800010559,100,8,129.46718268355573
xsb,0.0149226188659668,100,9,343.1466838486867
neo4j,0.020316770500130588,150,10,136.14748646074406
postgres,0.02190023749994907,50,11,107.79389125751213
xsb,0.03356695175170895,150,12,153.27209009394082
duckdb,0.04828384550000919,50,13,143.84340245477006
xsb,0.07251298427581784,200,14,150.18063189644667
xsb,0.0935034751892089,250,15,128.9472170026122
postgres,0.10400467750002917,100,16,111.23081499331504
duckdb,0.11122022049994484,100,17,106.93771008511963
xsb,0.15276443958282448,300,18,137.3531169926967
duckdb,0.1535587915002452,150,19,100.5199848338985
xsb,0.1817355155944825,350,20,118.34914420656423
mariadb,0.1989901080000891,50,21,109.49434256103679
postgres,0.22598895249996076,150,22,113.56793298481931
xsb,0.2481626272201535,400,23,109.81184012532496
duckdb,0.26492190649992153,200,24,106.75334536368375
postgres,0.3361391854999738,200,25,126.88236693633841
cockroachdb,0.35134272699974645,50,26,104.52298992667544
duckdb,0.35554458700016767,250,27,101.19594335602235
mariadb,0.37060037900005227,100,28,104.23457213254592
duckdb,0.45733427699997264,300,29,123.40361826772663
duckdb,0.5065779075000592,350,30,110.76753547167195
duckdb,0.571338732499953,400,31,112.78398130693972
mariadb,0.5810263870000654,150,32,101.69560611753434
cockroachdb,0.6669728795000083,100,33,114.7921840423976
postgres,0.6978631039999073,250,34,104.63140638087948
postgres,0.8330232205000812,300,35,119.36771205204622
mariadb,0.9125367705000826,200,36,109.54517809866906
cockroachdb,1.1130541974998778,150,37,121.97362708901132
postgres,1.1239250984999671,350,38,100.97667310581168
mariadb,1.2660945914997228,250,39,112.64937433904629
cockroachdb,1.5709386580001592,200,40,124.07751115493988
postgres,2.301039201500089,400,41,146.47543300190756
cockroachdb,2.306783864999943,250,42,100.24965517736982
cockroachdb,2.3607441980002477,300,43,102.33920194340817
mariadb,2.4740416459999324,300,44,104.79922594305886
cockroachdb,4.2003741179999,350,45,169.77782588224122
cockroachdb,4.289194737999878,400,46,102.11458830820223
mariadb,5.252806842499922,350,47,122.46603764485154
mariadb,8.401386527000113,400,48,159.94089976858385
