environment,cpu_time,size,position,factor
postgres,3.3600000000000295e-05,100,1,
mariadb,9.079999999999089e-05,600,2,270.23809523806574
mariadb,0.00010099999999999554,100,3,111.2334801762177
mariadb,0.00010439999999999339,200,4,103.36633663366139
mariadb,0.00011079999999999979,500,5,106.13026819924023
mariadb,0.0001112000000000113,400,6,100.36101083033529
mariadb,0.00011360000000000259,300,7,102.15827338128692
cockroachdb,0.00011879999999999668,300,8,104.5774647887271
cockroachdb,0.0001471999999999918,200,9,123.90572390572045
postgres,0.0001500000000000168,400,10,101.90217391306058
cockroachdb,0.0001576000000000133,400,11,105.06666666666375
postgres,0.00015919999999999268,500,12,101.01522842638278
mariadb,0.00016100000000000004,1000,13,101.13065326633634
cockroachdb,0.00017099999999999893,500,14,106.2111801242229
mariadb,0.00017260000000000054,800,15,100.93567251462083
postgres,0.00017819999999999503,600,16,103.24449594437688
mariadb,0.00018420000000000103,900,17,103.36700336700684
mariadb,0.00018580000000001373,700,18,100.86862106406768
postgres,0.0001863999999999866,300,19,100.32292787942563
cockroachdb,0.00018639999999999767,100,20,100.00000000000595
cockroachdb,0.00018699999999999273,700,21,100.32188841201453
postgres,0.00018999999999999017,700,22,101.60427807486501
cockroachdb,0.00019060000000000742,800,23,100.3157894736933
cockroachdb,0.00019540000000000112,600,24,102.51836306400499
postgres,0.00019960000000001087,800,25,102.14943705220558
postgres,0.00020540000000000003,200,26,102.90581162324091
cockroachdb,0.00023339999999999472,900,27,113.63193768256801
postgres,0.00023420000000001773,900,28,100.34275921166366
postgres,0.0002887999999999891,1000,29,123.3134073441363
cockroachdb,0.00031660000000001133,1000,30,109.6260387811715
xsb,0.0041628,100,31,1314.845230574811
xsb,0.0164348,200,32,394.8015758624002
xsb,0.0362104,300,33,220.32759753693384
duckdb,0.04241199999999999,100,34,117.12657137176059
xsb,0.06434419999999999,400,35,151.71225124964633
duckdb,0.08987999999999999,200,36,139.68624988732475
xsb,0.0980758,500,37,109.11860258121942
xsb,0.141788,600,38,144.56981232883138
duckdb,0.1605956,300,39,113.26459220808532
xsb,0.1957356,700,40,121.88104779956612
duckdb,0.2208206,400,41,112.81575758318876
xsb,0.2528832,800,42,114.51975042183562
duckdb,0.2608432,500,43,103.14769822590036
xsb,0.31516160000000004,900,44,120.82415796156467
xsb,0.3892282,1000,45,123.50114988628056
duckdb,0.46520720000000004,700,46,119.52042529292586
duckdb,0.5328208,600,47,114.53408287747911
duckdb,0.6158013999999999,800,48,115.57382894962058
duckdb,0.7277203999999999,900,49,118.17452834631426
duckdb,1.0160336,1000,50,139.61867772292769
