environment,real_time,size,position,factor
xsb,0.004473590850830078,100,1,
xsb,0.017545604705810562,200,2,392.20405465902104
duckdb,0.021045975212473422,100,3,119.9501274840852
xsb,0.038990402221679675,300,4,185.26298652376556
duckdb,0.04912799180019647,200,5,126.00021800462483
postgres,0.05133122520055622,100,6,104.48468036169747
xsb,0.06878538131713867,400,7,134.00299924341826
duckdb,0.09027067499700933,300,8,131.23526142976743
xsb,0.10574564933776842,500,9,117.14285878694469
duckdb,0.13863869161577896,400,10,131.10581142959833
xsb,0.1545300006866456,600,11,111.46239111582759
duckdb,0.1896437087794766,500,12,122.72290683802831
xsb,0.2106202125549316,700,13,111.06100693266188
mariadb,0.21733748358674349,100,14,103.18928128992366
xsb,0.2741496562957764,800,15,126.14007108735026
cockroachdb,0.2750395580078475,100,16,100.32460435081158
duckdb,0.2832283582072705,600,17,102.97731724801176
postgres,0.29203119201119987,200,18,103.10803404703117
duckdb,0.34018262519966813,700,19,116.48845551629347
xsb,0.34223761558532695,900,20,100.60408446329458
xsb,0.42698702812194816,1000,21,124.76332485886299
cockroachdb,0.4531949331983924,200,22,106.13786915066636
duckdb,0.46791438321815804,800,23,103.24792907896921
duckdb,0.5507885499973781,900,24,117.71139545000506
postgres,0.6684507831931115,300,25,121.36250530195181
mariadb,0.6737256000051275,200,26,100.7891107235777
duckdb,0.6813774999929592,1000,27,101.13575912623381
cockroachdb,0.7865893668029458,300,28,115.44105386677339
postgres,1.1658416750025935,400,29,148.21477688429735
cockroachdb,1.2506771835964172,400,30,107.27676067967246
cockroachdb,1.8448262834106572,500,31,147.50619165416603
postgres,1.8630006583873182,500,32,100.98515373182242
mariadb,1.9297037998447195,300,33,103.58041427184152
postgres,2.682499316590838,600,34,139.01093612432618
postgres,3.6655872417846695,700,35,136.64820785278812
postgres,4.968861008400563,800,36,135.55429677841653
postgres,6.256468641594983,900,37,125.91353694574143
mariadb,6.59034727497492,400,38,105.33653491300517
postgres,7.688989308394957,1000,39,116.6704725499343
cockroachdb,10.965078658005222,600,40,142.60754200858855
mariadb,12.930878700036555,500,41,117.92782435350951
mariadb,21.189158941409552,600,42,163.86480325849513
cockroachdb,24.134830149798653,700,43,113.90178447636463
mariadb,32.60372614180669,700,44,135.08993408879942
cockroachdb,39.63646629139548,800,45,121.57035707820812
mariadb,42.66726306662895,800,46,107.64648582179844
mariadb,55.780456374818456,900,47,130.73361721775316
cockroachdb,56.17867425840814,900,48,100.7139021612047
mariadb,72.01812755838037,1000,49,128.19477944088646
cockroachdb,76.53208919160534,1000,50,106.26781309964744
