Graph type,XSB,PostgreSQL,MariaDB,DuckDB,CockroachDB
Cmpl_{n=400},0.0487956,,,0.021101399999999992,
MaxAcyc_{n=400},0.008097000000000002,,,0.0041363999999999845,
Cyc_{n=400},0.052900800000000005,,,0.007242000000000004,
"CycExtra_{n=400,k=10}",0.058637400000000006,,,0.009152400000000015,
Path_{n=400},0.0080224,,,0.0028788000000000147,
"PathDisj_{n=400,k=10}",0.09818879999999999,,,0.0039963999999999885,
Grid_{n=400},0.0026528,,,0.0021954000000000027,
BinTree_{h=9},6.939999999999968e-05,,,0.0015548000000000007,
BinTreeRev_{h=9},5.4799999999999665e-05,,,0.0012880000000000003,
"X_{n=400, k=10}",0.0001181999999999996,,,0.0013525999999999927,
"Y_{n=400,k=10}",0.0002114000000000004,,,0.0017954000000000025,
"W_{n=400,k=10}",0.0001252000000000004,,,0.0010685999999999972,
