Graph type,XSB,PostgreSQL,MariaDB,DuckDB,CockroachDB
Cmpl_{n=400},0.049129009246826186,,,0.011900650418829173,
MaxAcyc_{n=400},0.008129978179931639,,,0.0028318168013356628,
Cyc_{n=400},0.053140783309936546,,,0.004354983405210078,
"CycExtra_{n=400,k=10}",0.05884637832641602,,,0.005443099804688245,
Path_{n=400},0.008055067062377927,,,0.001808500208426267,
"PathDisj_{n=400,k=10}",0.09862718582153321,,,0.0025346832117065787,
Grid_{n=400},0.0026842594146728503,,,0.0014493752154521645,
BinTree_{h=9},7.319450378417969e-05,,,0.0010121500003151596,
BinTreeRev_{h=9},5.784034729003906e-05,,,0.0009043083875440062,
"X_{n=400, k=10}",0.0001244068145751952,,,0.0009089418221265077,
"Y_{n=400,k=10}",0.00021796226501464834,,,0.0013415498193353414,
"W_{n=400,k=10}",0.0001310348510742184,,,0.0007454582140780985,
