Graph type,XSB,PostgreSQL,MariaDB,DuckDB,CockroachDB
Cmpl_{n=400},0.0041626,3.3800000000006046e-05,8.580000000000255e-05,0.0038370000000000014,0.00018899999999999473
MaxAcyc_{n=400},0.0007096000000000003,3.319999999998879e-05,3.8599999999999746e-05,0.0014357999999999981,0.00018060000000000854
Cyc_{n=400},0.00021379999999999959,3.219999999998224e-05,4.96000000000052e-05,0.011708599999999991,0.00018619999999999192
"CycExtra_{n=400,k=10}",0.0010027999999999999,3.219999999999334e-05,5.1999999999996493e-05,0.0030971999999999888,0.00019059999999998523
Path_{n=400},0.0001136000000000002,2.64000000000042e-05,3.7800000000010046e-05,0.013502600000000009,0.0001620000000000066
"PathDisj_{n=400,k=10}",0.001199,3.6599999999986646e-05,9.159999999999168e-05,0.015002000000000005,0.00018199999999999328
Grid_{n=400},0.00010079999999999985,2.8399999999983994e-05,3.72000000000039e-05,0.003778400000000004,0.0002064000000000066
BinTree_{h=9},2.0200000000000078e-05,2.1399999999993646e-05,3.7600000000004295e-05,0.0016715999999999953,0.00021320000000001337
BinTreeRev_{h=9},1.879999999999976e-05,2.7599999999994294e-05,3.579999999999695e-05,0.0016047999999999952,0.00019579999999999042
"X_{n=400, k=10}",6.059999999999989e-05,1.9399999999991645e-05,3.740000000000965e-05,0.0012652000000000108,0.00019679999999999698
"Y_{n=400,k=10}",5.660000000000009e-05,2.03999999999982e-05,3.900000000000015e-05,0.003517999999999999,0.00018999999999999017
"W_{n=400,k=10}",8.060000000000012e-05,3.0599999999980645e-05,3.6800000000014596e-05,0.0009446000000000066,0.00019780000000000353
