Graph type,XSB,PostgreSQL,MariaDB,DuckDB,CockroachDB
Cmpl_{n=400},0.004241418838500978,0.030719333211891353,0.06722276679938659,0.0026816414087079466,0.19880460019921883
MaxAcyc_{n=400},0.0007173538208007813,0.01203166659688577,0.037928833195474,0.0009861581958830357,0.19185096641303973
Cyc_{n=400},0.0002249717712402346,0.0056427086004987356,0.04962379139615223,0.007485291780903935,0.19137273298110813
"CycExtra_{n=400,k=10}",0.0010139942169189466,0.014092766586691141,0.056198525009676814,0.0017938083852641284,0.19277635000180454
Path_{n=400},0.00011878013610839861,0.0044012580066919325,0.036459416605066505,0.006984425196424127,0.19704662520671262
"PathDisj_{n=400,k=10}",0.001250743865966796,0.01846140020061284,0.10624854998895898,0.009161641600076108,0.19818016659701243
Grid_{n=400},0.00010476112365722658,0.003542991611175239,0.03298793339636177,0.0022848249995149673,0.19596622518729417
BinTree_{h=9},2.317428588867188e-05,0.001647474803030491,0.025190016999840737,0.0011005249922163784,0.20912985840113835
BinTreeRev_{h=9},2.121925354003906e-05,0.002571641595568508,0.024496149993501602,0.00102458338951692,0.22334320819936693
"X_{n=400, k=10}",6.504058837890627e-05,0.0029372170101851225,0.02945931680733338,0.0008776918053627014,0.20300089998636395
"Y_{n=400,k=10}",6.14166259765625e-05,0.0028875498101115227,0.030624641594476996,0.002289391797967255,0.2133175665861927
"W_{n=400,k=10}",8.387565612792965e-05,0.004715091991238296,0.028709183621685952,0.0006799581809900701,0.19771149158477783
