environment,cpu_time,size,position,factor
clingo,0.0020000000000000018,100,1,
clingo,0.0020000000000000018,200,2,100.0
clingo,0.0040000000000000036,300,3,200.0
clingo,0.0040000000000000036,400,4,100.0
clingo,0.0060000000000000496,500,5,150.0000000000011
xsb,0.0081224,100,6,135.37333333333223
clingo,0.009999999999999875,600,7,123.11632029941735
clingo,0.014000000000000058,700,8,140.00000000000233
clingo,0.017999999999999617,800,9,128.57142857142532
clingo,0.023999999999999844,900,10,133.3333333333353
clingo,0.029999999999999714,1000,11,124.99999999999962
xsb,0.06729260000000001,200,12,224.30866666666884
souffle,0.0732756,100,13,108.89102219263336
xsb,0.224282,300,14,306.08005939221243
souffle,0.4643986,200,15,207.06012965819815
xsb,0.5423169999999999,400,16,116.77834515435661
xsb,1.0637235999999999,500,17,196.14424773702467
souffle,1.486662,300,18,139.76017830195738
xsb,1.8018616,600,19,121.20183336898367
xsb,2.8597482,700,20,158.71075780736987
souffle,3.675904,400,21,128.53942875110474
xsb,4.2952838,800,22,116.84972730517444
xsb,5.9928176,900,23,139.52087636211604
souffle,7.187645999999999,500,24,119.93767339089376
xsb,8.362798999999999,1000,25,116.3496226720125
souffle,12.342499999999998,600,26,147.58814602622877
souffle,19.94896,700,27,161.62819526027957
souffle,30.795740000000002,800,28,154.37265902583394
souffle,44.02308,900,29,142.9518498337757
souffle,59.8926,1000,30,136.04818199907868
