environment,cpu_time,size,position,factor
mariadb,0.00010600000000002274,250,1,
mariadb,0.00010800000000002474,200,2,101.88679245283167
mariadb,0.00011119999999997798,300,3,102.96296296291898
mariadb,0.00012070000000000136,400,4,108.54316546764862
mariadb,0.00012585000000001068,100,5,104.26677713339623
mariadb,0.00012604999999998867,350,6,100.15891934841316
postgres,0.0001339499999999938,350,7,106.26735422451871
postgres,0.00013884999999999592,100,8,103.65808137364864
cockroachdb,0.00013899999999997248,350,9,100.10803024845269
mariadb,0.0001393500000000103,50,10,100.25179856117833
cockroachdb,0.0001417500000000238,50,11,101.72228202369094
cockroachdb,0.00014530000000001486,250,12,102.50440917106911
postgres,0.0001456999999999986,50,13,100.27529249826821
postgres,0.00015025000000001842,400,14,103.12285518189421
postgres,0.00015069999999997585,200,15,100.29950083191838
cockroachdb,0.00015405000000001667,200,16,102.22295952225704
cockroachdb,0.00015434999999999754,100,17,100.19474196688142
cockroachdb,0.0001575500000000063,300,18,102.07321023648123
postgres,0.0001631500000000008,150,19,103.55442716597543
postgres,0.00016384999999999317,300,20,100.42905301868979
cockroachdb,0.0001677499999999943,400,21,102.38022581629617
postgres,0.00017624999999998892,250,22,105.0670640834545
mariadb,0.00018014999999999004,150,23,102.21276595744759
cockroachdb,0.00018124999999996616,150,24,100.61060227586798
xsb,0.00034849999999999454,50,25,192.2758620689984
neo4j,0.0006717000000002749,350,26,192.7403156385324
neo4j,0.0006793499999999675,100,27,101.13890129517485
neo4j,0.0007077999999998141,400,28,104.1878265989325
neo4j,0.0007108499999997075,300,29,100.43091268718483
neo4j,0.0008093000000002348,150,30,113.84961665619579
neo4j,0.0008141999999999872,50,31,100.6054615099161
neo4j,0.0008224999999999483,200,32,101.01940555145679
xsb,0.0009770000000000004,100,33,118.78419452888292
neo4j,0.00098430000000016,250,34,100.7471852610194
xsb,0.0029255,150,35,297.21629584471447
xsb,0.004799,300,36,164.04033498547255
xsb,0.005279000000000001,200,37,110.00208376745155
xsb,0.0093485,250,38,177.08846372419015
xsb,0.0119305,350,39,127.61940418248918
xsb,0.020442,400,40,171.34235782238798
duckdb,0.0794173,50,41,388.5006359456022
duckdb,0.12741715000000003,100,42,160.44004266073014
duckdb,0.19816395,150,43,155.5237658352898
duckdb,0.2866923,200,44,144.6742962077613
duckdb,0.4745425,250,45,165.52328053456614
duckdb,0.53300305,300,46,112.31934968943773
duckdb,0.6766718,350,47,126.95458309291101
duckdb,0.7614871999999999,400,48,112.53420047946432
