environment,real_time,size,position,factor
xsb,0.00034797191619873047,50,1,
xsb,0.00127756595611572,100,2,367.1462829736204
neo4j,0.0016472285001327691,400,3,128.9349087808321
neo4j,0.0018474020000667224,300,4,112.15213917910107
neo4j,0.0018667435001589183,100,5,101.04695675827445
neo4j,0.0018911305000983702,350,6,101.30639265316181
neo4j,0.0020708859999558626,200,7,109.50518749753874
neo4j,0.002158266499918682,150,8,104.21947417504786
xsb,0.00292348861694336,150,9,135.45540446712718
xsb,0.00527751445770264,200,10,180.52112216604152
postgres,0.006244481999942764,50,11,118.32240441954289
postgres,0.011865122500012149,100,12,190.00971577980212
xsb,0.01391386985778809,300,13,117.26697181401914
xsb,0.0163246393203735,350,14,117.32637639438619
neo4j,0.01801161250000405,250,15,110.33390782193374
neo4j,0.019108377499833296,50,16,106.08921050144178
postgres,0.019993509000073573,150,17,104.63216461077347
xsb,0.0204675197601318,400,18,102.37082325096851
xsb,0.026497483253479,250,19,129.4611343436581
postgres,0.02795484350008337,200,20,105.49999497183578
mariadb,0.03847663600004125,50,21,137.63853122599846
duckdb,0.04470116249990497,50,22,116.17741868040916
postgres,0.05462569699989217,250,23,122.20196063135562
postgres,0.06957481550000466,300,24,127.36645813442344
duckdb,0.07649958000024526,100,25,109.95297572904113
postgres,0.0844523329999447,350,26,110.39581263017908
mariadb,0.08905445549999058,100,27,105.44937284331613
duckdb,0.11617343699981575,150,28,130.45213330154832
postgres,0.1275047205000419,400,29,109.75376453762328
duckdb,0.16773684700001468,200,30,131.55344079983263
mariadb,0.1801434879998851,150,31,107.39649112390275
duckdb,0.24209084749986687,250,32,134.38778730653937
duckdb,0.2665855999998712,300,33,110.11800022717412
cockroachdb,0.287910238500217,100,34,107.99917118567399
cockroachdb,0.3047426850002921,50,35,105.8464216443843
mariadb,0.3075253215001794,250,36,100.91311018667591
duckdb,0.33824125849992015,350,37,109.98810011803299
mariadb,0.35817619699992065,300,38,105.89370397579845
duckdb,0.3758854005000103,400,39,104.94427146427421
cockroachdb,0.4507239590000154,200,40,119.90994021062093
mariadb,0.5828823345000274,200,41,129.3213557569074
cockroachdb,0.6754748189998736,350,42,115.88527890097549
cockroachdb,0.7461997210000391,150,43,110.47039800904534
cockroachdb,0.7542818804997751,400,44,101.08310942396285
cockroachdb,0.7883913184998619,300,45,104.52210756772872
cockroachdb,0.8128205044997685,250,46,103.09861174605399
mariadb,0.8472263169999223,400,47,104.23289180202559
mariadb,1.0916905555000085,350,48,128.85465590419196
