environment,cpu_time,size,position,factor
postgres,2.3599999999990294e-05,50,1,
postgres,3.08000000000197e-05,150,2,130.50847457640836
postgres,3.100000000000325e-05,300,3,100.6493506492968
postgres,3.519999999999079e-05,100,4,113.54838709673261
mariadb,3.699999999999815e-05,50,5,105.1136363636586
postgres,4.220000000001445e-05,200,6,114.05405405409881
postgres,4.3399999999993445e-05,350,7,102.84360189568385
postgres,4.4200000000005343e-05,250,8,101.84331797237793
postgres,4.700000000000815e-05,400,9,106.33484162896485
mariadb,7.239999999999469e-05,100,10,154.04255319145136
mariadb,8.780000000000455e-05,400,11,121.27071823205937
mariadb,8.860000000000534e-05,350,12,100.91116173120815
mariadb,8.96000000000008e-05,200,13,101.12866817155238
mariadb,9.239999999999249e-05,150,14,103.12499999999069
mariadb,9.36000000000159e-05,250,15,101.29870129872674
mariadb,0.00010360000000000368,300,16,110.68376068374582
xsb,0.0001142000000000008,50,17,110.23166023165709
cockroachdb,0.00020199999999999109,200,18,176.88266199648834
cockroachdb,0.00020439999999999348,400,19,101.18811881188243
cockroachdb,0.00020520000000000537,250,20,100.39138943249115
cockroachdb,0.00021240000000000148,350,21,103.50877192982257
cockroachdb,0.00021460000000002034,300,22,101.035781544265
cockroachdb,0.00021919999999999717,50,23,102.14352283316701
cockroachdb,0.00022720000000001628,150,24,103.64963503650513
cockroachdb,0.00024000000000000686,100,25,105.63380281689685
xsb,0.0003919999999999998,100,26,163.33333333332857
xsb,0.0008585999999999998,150,27,219.03061224489804
xsb,0.0015152,200,28,176.47332867458655
xsb,0.002345,250,29,154.7650475184794
xsb,0.0033320000000000003,300,30,142.089552238806
xsb,0.004554400000000001,350,31,136.68667466986795
xsb,0.0059946,400,32,131.62216757421393
duckdb,0.01032980000000001,50,33,172.31841991125364
duckdb,0.026870399999999996,100,34,260.12507502565364
duckdb,0.04109899999999998,150,35,152.95269143741808
duckdb,0.04721080000000001,200,36,114.8709214336116
duckdb,0.05117260000000001,250,37,108.3917239275759
duckdb,0.06115360000000001,300,38,119.50457862215325
duckdb,0.073136,350,39,119.59394050391145
duckdb,0.08623,400,40,117.9036315904616
