environment,real_time,size,position,factor
xsb,0.0004247188568115236,100,1,
xsb,0.0016209602355957038,200,2,381.65487818569665
xsb,0.003562736511230468,300,3,219.7917279519914
xsb,0.006400585174560549,400,4,179.6536217142246
postgres,0.009842583211138844,100,5,153.77630236464458
xsb,0.009983348846435551,500,6,101.4301696239398
duckdb,0.013956650404725223,100,7,139.79928598516616
xsb,0.014347696304321261,600,8,102.80186067757091
xsb,0.01983675956726074,700,9,138.25745364631308
xsb,0.0257441520690918,800,10,129.78002773991787
postgres,0.02733229158911854,200,11,106.16893310668966
duckdb,0.03136994179803878,200,12,114.77245402477594
xsb,0.03263373374938962,900,13,104.02867164844358
xsb,0.04003148078918458,1000,14,122.66901819021345
duckdb,0.04794812499312684,300,15,119.77604637118775
postgres,0.05068260838743299,300,16,105.70300380817422
duckdb,0.05878259979654103,400,17,115.98179664943305
mariadb,0.06639373358339071,100,18,112.94793665675458
duckdb,0.08102934157941491,500,19,122.04365864986617
postgres,0.08172656658571213,400,20,100.86045991823084
duckdb,0.10146949199261143,600,21,124.15729209203175
duckdb,0.12646814979379997,700,22,124.63662457579746
mariadb,0.13260454980190844,200,23,104.85213076819228
duckdb,0.1367605415987782,800,24,103.13412458552757
duckdb,0.16118942478206008,900,25,117.86252298923341
postgres,0.16797056660288945,500,26,104.20693964880014
duckdb,0.18660038320813327,1000,27,111.0911197015176
mariadb,0.2074274499900639,300,28,111.1613204774077
cockroachdb,0.2118135500117205,100,29,102.11452246164463
postgres,0.23323048359015958,600,30,110.11121978610623
cockroachdb,0.2638575249817222,200,31,113.13166311715133
cockroachdb,0.3077234920114279,300,32,116.62486867969535
mariadb,0.311580533371307,400,33,101.25341140992117
cockroachdb,0.3694439418031834,400,34,118.57093182484584
postgres,0.37140165839809924,700,35,100.52990897221392
postgres,0.4367691249935888,800,36,117.60020859288227
mariadb,0.45002285020891575,500,37,103.03449224244537
cockroachdb,0.4578965918160975,500,38,101.74963151393901
cockroachdb,0.5552264749887399,600,39,121.25586538799409
postgres,0.5934781081741676,900,40,106.88937486026822
mariadb,0.6097176499664784,600,41,102.73633375328227
cockroachdb,0.6596187414135783,700,42,108.18429505031443
postgres,0.7487920582061633,1000,43,113.51891800428298
cockroachdb,0.7810536331962794,800,44,104.30848252683171
mariadb,0.8104400999844075,700,45,103.7624134296477
cockroachdb,0.8953080000006594,900,46,110.47182882706382
cockroachdb,1.0474681417923422,1000,47,116.99528450450245
mariadb,1.054986042017117,800,48,100.71772113392498
mariadb,1.3205468997824936,900,49,125.17197831903333
mariadb,2.683430441422388,1000,50,203.20599305214938
