environment,real_time,size,position,factor
clingo,0.0,400,1,
clingo,0.0,200,2,
clingo,0.0,1000,3,
clingo,0.0,900,4,
clingo,0.0,500,5,
clingo,0.0,100,6,
clingo,0.0,600,7,
clingo,0.0,300,8,
xsb,6.079673767089842e-05,100,9,inf
xsb,0.00013537406921386701,200,10,222.66666666666643
xsb,0.0003480434417724612,300,11,257.09756956674937
xsb,0.00034823417663574217,400,12,100.05480202767494
xsb,0.00035567283630371076,500,13,102.13610844858275
xsb,0.0008510112762451173,800,14,239.26799839120542
xsb,0.0008556365966796873,1000,15,100.54350871294892
xsb,0.0008602142333984377,700,16,100.53499777084266
xsb,0.0008641719818115234,900,17,100.46008869179599
xsb,0.0008739471435546874,600,18,101.13115930033658
souffle,0.0014443919999999999,100,19,165.27223764644262
clingo,0.0019999980926513673,700,20,138.46643381099918
clingo,0.0019999980926513673,800,21,100.0
souffle,0.0035369,200,22,176.8451686526953
souffle,0.007401116000000001,400,23,209.2543187537109
souffle,0.007736809999999999,300,24,104.53572136958802
souffle,0.008715502,500,25,112.64981303663915
souffle,0.01713156,1000,26,196.56423691945685
souffle,0.0176213,800,27,102.85870055032933
souffle,0.017860179999999996,700,28,101.35563210432828
souffle,0.0180222,600,29,100.9071577106166
souffle,0.01812502,900,30,100.57051858263696
