environment,cpu_time,size,position,factor
xsb,4.000000000000185e-05,50,1,
xsb,7.299999999999665e-05,100,2,182.49999999998317
postgres,0.00011264999999999192,50,3,154.3150684931467
postgres,0.00011279999999999624,200,4,100.13315579228079
postgres,0.0001131500000000063,150,5,100.31028368795218
xsb,0.00011349999999999896,200,6,100.30932390631256
postgres,0.00011549999999999061,250,7,101.7621145374376
mariadb,0.00011905000000000943,250,8,103.07359307360962
mariadb,0.00012139999999999374,50,9,101.97396052077625
postgres,0.0001244999999999996,400,10,102.55354200988964
postgres,0.0001285000000000036,350,11,103.2128514056257
mariadb,0.00013075000000004056,100,12,101.75097276267462
mariadb,0.00013120000000002574,150,13,100.3441682600268
mariadb,0.00013189999999999036,350,14,100.5335365853388
postgres,0.00013410000000002587,300,15,101.66793025021659
xsb,0.000137500000000002,250,16,102.53542132734934
mariadb,0.0001376999999999906,300,17,100.14545454544628
mariadb,0.00014039999999998498,400,18,101.96078431372153
mariadb,0.0001528999999999836,200,19,108.90313390313386
cockroachdb,0.0001589499999999633,350,20,103.95683453236124
xsb,0.000174000000000001,150,21,109.4683862850212
cockroachdb,0.00017924999999999192,300,22,103.0172413793051
cockroachdb,0.00018764999999998366,100,23,104.68619246861486
postgres,0.00019114999999997329,100,24,101.86517452703967
cockroachdb,0.00019859999999996547,250,25,103.89746272560463
cockroachdb,0.00020100000000006224,50,26,101.20845921455044
cockroachdb,0.0002027000000000001,150,27,100.84577114424742
cockroachdb,0.00020625000000001892,400,28,101.75135668476507
cockroachdb,0.00024299999999999322,200,29,117.81818181816772
xsb,0.000298,400,30,122.63374485597049
xsb,0.0003435,300,31,115.26845637583894
xsb,0.000445499999999998,350,32,129.6943231441042
neo4j,0.000612550000000045,50,33,137.49719416387157
neo4j,0.0006469000000000058,300,34,105.60770549342229
neo4j,0.0007015000000001326,350,35,108.44025351679183
neo4j,0.0007241500000000345,150,36,103.22879543833182
neo4j,0.0007782000000000622,200,37,107.46392322033074
neo4j,0.0007964499999999486,250,38,102.34515548700655
neo4j,0.000893100000000091,400,39,112.13509950406788
neo4j,0.0011831500000000217,100,40,132.47676631955002
duckdb,0.008513949999999992,50,41,719.6002197523421
duckdb,0.01098685000000002,100,42,129.0452727582383
duckdb,0.011777999999999983,250,43,107.20088105325878
duckdb,0.012931600000000015,150,44,109.79453217863843
duckdb,0.012960449999999984,200,45,100.2230969098949
duckdb,0.014136250000000045,400,46,109.072215856703
duckdb,0.015241849999999973,350,47,107.82102750022054
duckdb,0.017736949999999974,300,48,116.37006006488717
