environment,real_time,size,position,factor
clingo,0.0,600,1,
clingo,0.0,900,2,
clingo,0.0,800,3,
clingo,0.0,100,4,
clingo,0.0,300,5,
clingo,0.0,700,6,
clingo,0.0,500,7,
clingo,0.0,400,8,
clingo,0.0,200,9,
xsb,3.32355499267578e-05,100,10,inf
xsb,6.575584411621097e-05,200,11,197.8479196556673
xsb,0.0001349925994873046,400,12,205.29369108049286
xsb,0.00013875961303710943,500,13,102.79053338043104
xsb,0.0001388072967529296,300,14,100.03436426116828
xsb,0.0003376007080078126,700,15,243.2153899003781
xsb,0.00033922195434570317,600,16,100.48022598870054
xsb,0.000340414047241211,900,17,100.35141973573236
xsb,0.0003424644470214844,1000,18,100.60232525563804
xsb,0.0003430366516113278,800,19,100.16708437761059
souffle,0.0005930582,100,20,172.8847915271617
duckdb,0.001338049815967679,100,21,225.6186350627441
souffle,0.001363634,200,22,101.9120501887905
duckdb,0.001517200004309416,200,23,111.26152650266977
duckdb,0.0017096247989684342,400,24,112.68288914529792
duckdb,0.0018608669866807758,300,25,108.84651344573378
clingo,0.0019999980926513673,1000,26,107.47668194268734
duckdb,0.002090741798747331,500,27,104.53718963179941
duckdb,0.0022066749865189196,700,28,105.54507437700103
duckdb,0.002327674999833107,900,29,105.4833636150953
duckdb,0.002394524996634573,1000,30,102.87196437673897
duckdb,0.0024896501912735403,600,31,103.9726123040128
duckdb,0.002713733189739287,800,32,109.00058165806502
souffle,0.002884808,300,33,106.30403942832525
souffle,0.002990252,400,34,103.65514793358865
souffle,0.003124152,500,35,104.47788346935307
postgres,0.003824191598687321,100,36,122.4073476158433
postgres,0.004521883395500481,200,37,118.24416425820945
postgres,0.005107324803248048,300,38,112.94684883582164
postgres,0.0051996832014992835,500,39,101.80835176553683
postgres,0.005620316392742098,400,40,108.0895926721368
souffle,0.005849916,600,41,104.08517227881336
souffle,0.006082276,700,42,103.97202284614002
souffle,0.006597866000000001,800,43,108.47692541410485
postgres,0.00671863320749253,700,44,101.8303980028168
souffle,0.00675805,1000,45,100.58667873792415
souffle,0.006888266,900,46,101.9268280051198
postgres,0.008746466785669326,600,47,126.9763215542101
postgres,0.008814708411227912,900,48,100.78021934148767
postgres,0.008836983412038535,1000,49,100.25270263940041
postgres,0.009439391607884318,800,50,106.8168985699931
neo4j,0.012029449793044478,100,51,127.43882543231702
neo4j,0.01721181680331938,200,52,143.08066536236254
mariadb,0.024292866792529823,100,53,141.14063070811227
neo4j,0.030401083204196766,500,54,125.14407403553231
neo4j,0.03101895820000209,300,55,102.03241112053543
neo4j,0.031387717003235595,400,56,101.18881749946547
mariadb,0.03201151681132615,200,57,101.98740102068031
mariadb,0.037998725404031576,400,58,118.7032955295235
mariadb,0.03950529180001468,300,59,103.96478139717618
mariadb,0.040195283386856316,500,60,101.74658015522209
mariadb,0.052321949996985494,800,61,130.16937707197394
mariadb,0.05235609181690961,700,62,100.06525333999609
mariadb,0.05501241642050445,600,63,105.07357312475511
mariadb,0.0553450666135177,1000,64,100.6046820239099
mariadb,0.055521316407248375,900,65,100.31845619585474
neo4j,0.05813544979901053,800,66,104.70834187825719
neo4j,0.06032192500424571,1000,67,103.76100161397976
neo4j,0.061309700197307394,600,68,101.63750608587534
neo4j,0.06139754159958102,900,69,100.14327488470983
neo4j,0.06388048319495283,700,70,104.04404073955425
cockroachdb,0.2240145084098913,300,71,350.677542194281
cockroachdb,0.23011781660607084,600,72,102.7245146930448
cockroachdb,0.23447954159928486,700,73,101.89543124367492
cockroachdb,0.23721769199473783,1000,74,101.16775663103792
cockroachdb,0.24092098338296636,200,75,101.56113625298684
cockroachdb,0.24377429981250315,500,76,101.184337034272
cockroachdb,0.24417654178105294,100,77,100.16500589638004
cockroachdb,0.2460344666149467,400,78,100.76089407292848
cockroachdb,0.2617902498110197,900,79,106.40389267928524
cockroachdb,0.26600409160600974,800,80,101.6096251858241
