environment,real_time,size,position,factor
xsb,4.89950180053711e-05,50,1,
xsb,7.915496826171875e-05,100,2,161.55717761557176
xsb,0.00015962123870849599,250,3,201.65662650602397
xsb,0.000169038772583008,150,4,105.89992531740124
xsb,0.0001795291900634765,200,5,106.20592383638913
xsb,0.000338912010192871,300,6,188.7782204515272
xsb,0.0003703832626342775,400,7,109.28596552937047
xsb,0.0003905296325683595,350,8,105.43933054393304
neo4j,0.0016382464998514479,350,9,419.49351937197343
neo4j,0.0016438929999367247,300,10,100.34466730652491
neo4j,0.001677200500125764,100,11,102.02613553256332
neo4j,0.0016919414999847504,250,12,100.87890504789863
neo4j,0.002304099499951917,200,13,136.18080175778442
postgres,0.00297904199999266,50,14,129.29311429713985
neo4j,0.0033909144997323892,400,15,113.82566945147951
postgres,0.004538243499951022,100,16,133.83538571406564
postgres,0.004757548500037956,250,17,104.83237622858492
postgres,0.005202022500043313,150,18,109.3425006597791
postgres,0.005398761499918692,200,19,103.78197133660495
postgres,0.006594999499952792,300,20,122.15763745170287
postgres,0.0067403320000494205,350,21,102.20367719660433
postgres,0.008252676499978406,400,22,122.43724047892444
duckdb,0.008744334500079276,50,23,105.95755813404483
duckdb,0.010870104499872468,100,24,124.31025482584089
duckdb,0.011213780000161933,200,25,103.16165774021304
duckdb,0.01179352100007236,150,26,105.1698981066336
duckdb,0.012807299499854707,250,27,108.59606303983456
duckdb,0.013344478999897547,400,28,104.19432293317521
duckdb,0.013668971000015517,300,29,102.43165731776011
neo4j,0.014430428500190828,150,30,105.57070097064691
neo4j,0.016019520999861925,50,31,111.01209502995759
mariadb,0.02054970349990981,50,32,128.27913830935975
mariadb,0.02218251550016248,100,33,107.94567182081161
mariadb,0.027331713000194213,150,34,123.21286555618103
mariadb,0.028132825500051695,250,35,102.93107314514751
mariadb,0.03883957199991528,400,36,138.05784278526843
mariadb,0.03936372099997243,200,37,101.34952311023997
mariadb,0.039821547500196175,300,38,101.16306713032557
mariadb,0.040892266000128075,350,39,102.68879179024026
duckdb,0.07194641299997784,350,40,175.9413699396177
cockroachdb,0.22937174900016544,400,41,318.8091517505343
cockroachdb,0.2796714440000869,50,42,121.92933315422607
cockroachdb,0.2798230420000891,200,43,100.05420574865775
cockroachdb,0.3067002185000547,300,44,109.60506193766453
cockroachdb,0.32149513549984476,350,45,104.82390168228311
cockroachdb,0.34413536750003004,250,46,107.04216938305626
cockroachdb,0.3788926340000671,100,47,110.09988213432729
cockroachdb,0.4119600684998659,150,48,108.72738911567042
