environment,cpu_time,size,position,factor
xsb,4.85000000000069e-05,50,1,
xsb,7.8999999999999e-05,150,2,162.8865979381191
xsb,7.899999999999921e-05,100,3,100.00000000000027
mariadb,0.0001077499999999898,150,4,136.3924050632796
mariadb,0.00010999999999999899,100,5,102.088167053373
mariadb,0.00011134999999995454,300,6,101.22727272723233
postgres,0.0001115500000000158,100,7,100.17961383032001
postgres,0.00011269999999999336,250,8,101.03092783503129
mariadb,0.00011699999999997823,250,9,103.81543921915272
mariadb,0.00012039999999999274,400,10,102.90598290599584
mariadb,0.00012605000000001643,350,11,104.6926910299203
postgres,0.0001300999999999941,200,12,103.21301071001758
postgres,0.00013399999999999523,150,13,102.9976940814768
postgres,0.0001345000000000096,50,14,100.37313432836896
xsb,0.00013549999999999695,250,15,100.74349442378237
postgres,0.00013665000000001593,300,16,100.8487084870989
postgres,0.0001429500000000028,350,17,104.6103183314937
mariadb,0.00014440000000001674,200,18,101.01434067856867
cockroachdb,0.00014905000000001167,400,19,103.22022160664433
postgres,0.00015545000000000142,400,20,104.29386112042218
mariadb,0.0001613500000000323,50,21,103.79543261500856
cockroachdb,0.00016365000000007068,50,22,101.42547257517069
cockroachdb,0.00016865000000004793,200,23,103.05530094712807
cockroachdb,0.0001763000000000181,300,24,104.53602134596383
xsb,0.00017900000000000202,200,25,101.5314804310741
cockroachdb,0.0001878999999999631,350,26,104.97206703908435
cockroachdb,0.0001966999999999941,250,27,104.68334220331705
cockroachdb,0.00022214999999997653,150,28,112.93848500253341
cockroachdb,0.00024254999999995253,100,29,109.1829844699429
xsb,0.0002785000000000045,350,30,114.821686250282
xsb,0.0003390000000000025,300,31,121.72351885098635
xsb,0.000369999999999999,400,32,109.14454277286028
neo4j,0.0005867000000001621,350,33,158.56756756761177
neo4j,0.0006021000000000498,250,34,102.62485086072668
neo4j,0.0006803000000000781,100,35,112.98787576814844
neo4j,0.0006859999999998534,300,36,100.83786564747533
neo4j,0.0007992499999999181,150,37,116.50874635569808
neo4j,0.000830949999999997,50,38,103.96621832969434
neo4j,0.0008326000000000722,400,39,100.19856790421508
neo4j,0.0009842500000001309,200,40,118.21402834494903
duckdb,0.009218249999999983,50,41,936.5760731520201
duckdb,0.011992350000000013,100,42,130.09356439671342
duckdb,0.013043899999999997,200,43,108.7685065896174
duckdb,0.013895999999999992,150,44,106.53255544737384
duckdb,0.015268600000000021,350,45,109.87766263673022
duckdb,0.015829199999999988,250,46,103.67158744089153
duckdb,0.017491499999999993,400,47,110.50147828064594
duckdb,0.017539099999999974,300,48,100.27213217848659
