environment,real_time,size,position,factor
xsb,2.1409988403320322e-05,50,1,
xsb,3.4189224243164064e-05,100,2,159.68819599109125
xsb,6.494522094726565e-05,250,3,189.95815899581595
xsb,6.546974182128911e-05,150,4,100.8076358296623
xsb,6.55651092529297e-05,200,5,100.14566642388925
xsb,0.0001389503479003908,350,6,211.92727272727296
xsb,0.0001390457153320312,400,7,100.06863417982139
xsb,0.0001431941986083986,300,8,102.98353909465037
duckdb,0.0011092334054410458,50,9,774.6357158466525
duckdb,0.001440374623052776,150,10,129.85315948721038
duckdb,0.0015039166086353362,200,11,104.41149021689145
duckdb,0.001682233205065131,250,12,111.85681409500494
duckdb,0.001744375191628933,300,13,103.69401735601788
postgres,0.0017829747986979783,100,14,102.21280417505825
duckdb,0.0018635588116012515,400,15,104.51963835731833
duckdb,0.0018643916002474726,100,16,100.04468807965902
duckdb,0.0018665168201550842,350,17,100.11398999584257
postgres,0.0023925666115246712,50,18,128.1835012515922
postgres,0.0029508166015148165,250,19,123.33268329086972
postgres,0.0032874834025278686,200,20,111.40927568457568
postgres,0.003448500018566847,150,21,104.8978685615619
postgres,0.004365924990270287,350,22,126.60359480249359
postgres,0.0047647500061430035,400,23,109.13494887707694
postgres,0.0049337834003381435,300,24,103.54758159351931
mariadb,0.02279616678133607,50,25,462.0423097571268
mariadb,0.023947166593279688,100,26,105.04909366115878
mariadb,0.03024411640362814,250,27,126.2951768670435
mariadb,0.03173815819900483,150,28,104.93994195577643
mariadb,0.03293651659041643,200,29,103.7757653859359
mariadb,0.039591625006869434,400,30,120.2058660277069
mariadb,0.04041817479301244,350,31,102.0876884593638
mariadb,0.04471803319174796,300,32,110.63842793682727
cockroachdb,0.19630913318833337,350,33,438.99321856704387
cockroachdb,0.20246655840892344,150,34,103.13659640821847
cockroachdb,0.20722194998525084,100,35,102.34872939694213
cockroachdb,0.21410316680558025,50,36,103.32069880667525
cockroachdb,0.22154865841148422,200,37,103.47752521225667
cockroachdb,0.2219779831939377,300,38,100.19378351714326
cockroachdb,0.22927037479821594,250,39,103.2851868907679
cockroachdb,0.23127183319302275,400,40,100.87296860598249
