environment,real_time,size,position,factor
duckdb,0.6597492002008949,10000,1,
duckdb,2.578735941596096,20000,2,390.8660959059695
duckdb,4.679217458202038,30000,3,181.45392022208594
postgres,8.092333874999895,10000,4,172.94203458775192
duckdb,8.84877526659984,40000,5,109.3476295378378
duckdb,22.35604518339387,50000,6,252.6456431521989
duckdb,25.294403999793577,60000,7,113.14346429475964
postgres,32.82147330019798,20000,8,129.75784406885344
cockroachdb,74.65577118339715,10000,9,227.46014629071155
postgres,75.9706586582004,30000,10,101.76126701788819
mariadb,100.6710687247978,10000,11,132.51309190002814
postgres,150.04784826660472,40000,12,149.04763619504934
duckdb,195.51630015839473,70000,13,130.30263507078206
duckdb,321.02911165799594,80000,14,164.19557417868424
postgres,339.0674705082027,50000,15,105.61891685057635
mariadb,435.16506967499737,20000,16,128.34173358557848
postgres,718.5065571915999,60000,17,165.1112663358334
