environment,cpu_time,size,position,factor
clingo,0.0,800,1,
clingo,0.0,300,2,
clingo,0.0,100,3,
clingo,0.0,500,4,
clingo,0.0,700,5,
clingo,0.0,1000,6,
clingo,0.0,200,7,
clingo,0.0,400,8,
clingo,0.0,900,9,
xsb,0.0001297999999999996,100,10,inf
xsb,0.00024799999999999963,200,11,191.06317411402188
xsb,0.00037899999999999924,300,12,152.82258064516122
xsb,0.0005007999999999993,400,13,132.13720316622698
xsb,0.0006274000000000003,500,14,125.27955271565519
xsb,0.0007428000000000007,600,15,118.39336946126879
xsb,0.0008536000000000001,700,16,114.91653204092613
xsb,0.0009845999999999998,800,17,115.34676663542638
xsb,0.0011194,900,18,113.69083891935814
xsb,0.0012406000000000001,1000,19,110.82722887261033
souffle,0.0022955999999999996,100,20,185.0394970175721
clingo,0.0040000000000000036,600,21,174.24638438752413
souffle,0.004228399999999999,200,22,105.70999999999988
souffle,0.005621800000000001,300,23,132.95336297417467
souffle,0.007285,400,24,129.58483048134048
souffle,0.009364800000000001,500,25,128.54907343857244
souffle,0.0102622,600,26,109.5826926362549
souffle,0.0122452,700,27,119.32334197345598
souffle,0.0130742,800,28,106.7699996733414
souffle,0.0132492,900,29,101.33851401997829
souffle,0.0149468,1000,30,112.81284907768017
