environment,real_time,size,position,factor
clingo,0.0,800,1,
clingo,0.0,300,2,
clingo,0.0,100,3,
clingo,0.0,500,4,
clingo,0.0,700,5,
clingo,0.0,200,6,
clingo,0.0,400,7,
clingo,0.0,900,8,
xsb,0.000138235092163086,100,9,inf
xsb,0.0002640724182128908,200,10,191.03139013452918
xsb,0.00039720535278320296,300,11,150.41531238714322
xsb,0.0005320072174072267,400,12,133.93757503001208
xsb,0.0006664276123046875,500,13,125.26664874070086
xsb,0.0007880210876464845,600,14,118.2455638236978
xsb,0.0009062290191650393,700,15,115.00060510710396
xsb,0.001044368743896484,800,16,115.24335701131274
xsb,0.001184797286987304,900,17,113.44626061546887
xsb,0.00131397247314453,1000,18,110.90272467501103
clingo,0.0019999980926513673,600,19,152.21004499927437
souffle,0.002319384,100,20,115.969310596953
clingo,0.0039999961853027345,1000,21,172.45941962619105
souffle,0.004235376,200,22,105.88450097932909
souffle,0.005628050000000001,300,23,132.88194483795536
souffle,0.007287876,400,24,129.49202654560636
souffle,0.009368275999999998,500,25,128.54604002592797
souffle,0.01026528,600,26,109.57491004748367
souffle,0.01224822,700,27,119.31695969325729
souffle,0.013077700000000001,800,28,106.77224935541653
souffle,0.013253580000000001,900,29,101.34488480390283
souffle,0.01495022,1000,30,112.80137140304731
