environment,cpu_time,size,position,factor
mariadb,0.00010535000000000405,100,1,
mariadb,0.00011184999999999667,400,2,106.16990982438763
mariadb,0.00011580000000002699,300,3,103.53151542246799
mariadb,0.0001259500000000413,150,4,108.76511226253191
postgres,0.00012884999999998592,100,5,102.3025009924126
mariadb,0.00012959999999997973,350,6,100.58207217694519
postgres,0.00013019999999999698,400,7,100.46296296297635
postgres,0.00013915000000000455,350,8,106.87403993856203
mariadb,0.0001425000000000176,50,9,102.40747394898524
mariadb,0.00014345000000001717,250,10,100.66666666666629
postgres,0.00015025000000001842,150,11,104.74032764029309
postgres,0.00015184999999998117,200,12,101.06489184689687
cockroachdb,0.00015344999999999942,50,13,101.05367138624857
postgres,0.00015819999999999723,50,14,103.09547083740492
mariadb,0.00017940000000002398,200,15,113.40075853351905
postgres,0.0001803499999999958,250,16,100.52954292083147
postgres,0.0001865000000000061,300,17,103.41003604103713
cockroachdb,0.00018935000000003255,300,18,101.52815013406237
cockroachdb,0.0002103500000000258,100,19,111.09057301293352
xsb,0.00021449999999999952,50,20,101.97290230566827
cockroachdb,0.00021769999999998735,400,21,101.49184149183581
cockroachdb,0.0002435000000000076,350,22,111.85117133671187
cockroachdb,0.0002455500000000388,200,23,100.84188911705591
cockroachdb,0.0002487499999999643,250,24,101.30319690487678
cockroachdb,0.0002822499999999839,150,25,113.46733668342691
xsb,0.000307499999999995,100,26,108.9459698848583
xsb,0.0004615,150,27,150.08130081301056
neo4j,0.0006083000000001171,100,28,131.80931744314563
neo4j,0.0006988999999999468,350,29,114.8939667926701
xsb,0.0007234999999999984,200,30,103.51981685506561
neo4j,0.0007268500000001676,150,31,100.46302695233852
neo4j,0.000746699999999989,250,32,102.73096237185347
neo4j,0.0007540999999999798,300,33,100.9910271862851
neo4j,0.0007707999999999604,400,34,102.21456040312704
neo4j,0.0007820499999999786,200,35,101.45952257395159
xsb,0.000898499999999995,350,36,114.89035227926854
xsb,0.000934000000000003,250,37,103.95102949360135
neo4j,0.0009548000000001444,50,38,102.22698072806654
xsb,0.001413499999999995,300,39,148.04147465435497
xsb,0.0017650000000000048,400,40,124.86735054828517
duckdb,0.004157400000000033,100,41,235.54674220963298
duckdb,0.004782150000000013,200,42,115.02742098426839
duckdb,0.0049960000000000004,300,43,104.47183798082425
duckdb,0.0050100000000000144,50,44,100.28022417934375
duckdb,0.00521060000000001,150,45,104.00399201596795
duckdb,0.005274899999999971,350,46,101.23402295321003
duckdb,0.006217349999999983,400,47,117.86668941591341
duckdb,0.00664370000000003,250,48,106.85742317868623
