environment,cpu_time,size,position,factor
postgres,3.0599999999980645e-05,300,1,
postgres,3.599999999999159e-05,400,2,117.64705882357636
postgres,3.6599999999986646e-05,200,3,101.66666666665331
mariadb,3.6800000000014596e-05,150,4,100.54644808750825
postgres,3.699999999999815e-05,100,5,100.54347826082466
postgres,3.820000000001045e-05,350,6,103.24324324327665
mariadb,3.87999999999944e-05,50,7,101.57068062822981
postgres,3.9400000000000544e-05,50,8,101.5463917525934
mariadb,4.020000000000134e-05,100,9,102.03045685279389
postgres,4.159999999998609e-05,250,10,103.48258706463855
mariadb,4.80000000000147e-05,200,11,115.3846153846893
postgres,4.959999999999409e-05,150,12,103.33333333328937
mariadb,6.60000000000105e-05,250,13,133.06451612906926
xsb,8.060000000000012e-05,50,14,122.12121212119287
mariadb,8.719999999999839e-05,350,15,108.1885856079383
mariadb,8.959999999998968e-05,300,16,102.75229357797171
mariadb,0.00010199999999997989,400,17,113.83928571427637
xsb,0.00015040000000000002,100,18,147.45098039218595
cockroachdb,0.00019780000000000353,350,19,131.51595744681083
cockroachdb,0.00020100000000000673,300,20,101.61779575328774
cockroachdb,0.00020279999999999186,150,21,100.89552238805229
cockroachdb,0.00020280000000002518,250,22,100.00000000001643
cockroachdb,0.00020839999999999748,400,23,102.76134122286568
xsb,0.0002175999999999996,150,24,104.41458733205482
cockroachdb,0.0002377999999999769,50,25,109.28308823528371
cockroachdb,0.00024079999999999658,100,26,101.26156433978973
cockroachdb,0.00026720000000001186,200,27,110.96345514950816
xsb,0.00029500000000000067,200,28,110.4041916167618
xsb,0.00043400000000000095,250,29,147.1186440677966
xsb,0.0005729999999999995,300,30,132.02764976958485
xsb,0.0007316000000000002,350,31,127.67888307155337
xsb,0.0008121999999999993,400,32,111.01694915254224
duckdb,0.0009446000000000066,50,33,116.30140359517452
duckdb,0.0009662000000000171,200,34,102.28668219352217
duckdb,0.0010565999999999965,150,35,109.35624094390167
duckdb,0.0010597999999999996,250,36,100.30285822449396
duckdb,0.0010912000000000033,300,37,102.96282317418415
duckdb,0.0010973999999999927,100,38,100.56818181818086
duckdb,0.0011336000000000124,350,39,103.29870603244214
duckdb,0.001396199999999992,400,40,123.16513761467685
