environment,real_time,size,position,factor
clingo,0.0,800,1,
clingo,0.0,900,2,
clingo,0.0,600,3,
clingo,0.0,400,4,
clingo,0.0,1000,5,
clingo,0.0,700,6,
clingo,0.0,300,7,
clingo,0.0,100,8,
clingo,0.0,500,9,
xsb,0.00015773773193359378,100,10,inf
xsb,0.0003118038177490232,200,11,197.6723095525996
xsb,0.0005928516387939454,300,12,190.1361064382935
duckdb,0.0007767084054648877,100,13,131.01227265643848
xsb,0.0008502006530761719,400,14,109.46201265419504
duckdb,0.0008727914071641862,200,15,102.65710853153043
duckdb,0.0010047080111689865,400,16,115.11433349618034
duckdb,0.0010377499856986105,600,17,103.28871415001255
xsb,0.0010640621185302721,500,18,102.53549826010821
duckdb,0.0011002666084095835,500,19,103.40247897644534
duckdb,0.0011426251847296953,800,20,103.8498465732174
xsb,0.0012206077575683601,600,21,106.8248603199756
duckdb,0.0013111919979564846,900,22,107.4212407570293
duckdb,0.0013163832016289234,300,23,100.39591483783683
duckdb,0.0013424332020804286,1000,24,101.97890708566246
souffle,0.0014453492000000001,100,25,107.66637757171664
xsb,0.001468229293823242,700,26,101.58301494360269
duckdb,0.0016204079845920205,700,27,110.3647769056908
xsb,0.00168137550354004,800,28,103.76247954390139
xsb,0.0019145011901855458,900,29,113.8651768242533
clingo,0.0019999980926513673,200,30,104.4657534246576
xsb,0.002049446105957032,1000,31,102.4724030231505
souffle,0.002552024,200,32,124.52262065258255
souffle,0.004100642,300,33,160.68195283429935
souffle,0.00492871,400,34,120.19361846267
souffle,0.00610654,500,35,123.89732810410837
postgres,0.006912641995586455,200,36,113.20063400201185
souffle,0.007319508000000001,600,37,105.8858249085273
postgres,0.0077888249885290865,100,38,106.41186523095658
souffle,0.008384765999999998,700,39,107.6512312492395
postgres,0.008663833199534565,300,40,103.32826461149382
postgres,0.008727808389812708,400,41,100.73841668929614
souffle,0.00889323,800,42,101.89533961790885
souffle,0.008934266,900,43,100.46142964929503
postgres,0.010087591595947742,500,44,112.90901340913449
postgres,0.010088300006464124,600,45,100.00702259314964
souffle,0.010405600000000001,1000,46,103.14522757384856
postgres,0.012787358008790762,900,47,122.88919436448413
postgres,0.012864008196629584,800,48,100.59942161458315
postgres,0.013939674990251661,700,49,108.36183230903029
postgres,0.014175583375617862,1000,50,101.6923521210586
neo4j,0.020174441806739198,100,51,142.31824731417706
mariadb,0.030477916845120488,100,52,151.07192128081311
neo4j,0.033327483193716034,200,53,109.34960995883077
mariadb,0.034023116598837076,200,54,102.08726653938334
mariadb,0.04187379179056734,300,55,123.07453277810123
neo4j,0.04384844159358181,300,56,104.71571768062162
mariadb,0.04623766676522791,500,57,105.44882573887374
mariadb,0.04649853322189301,400,58,100.56418603038439
mariadb,0.04805977502837777,600,59,103.35761517257855
mariadb,0.0489928164286539,700,60,101.9414185766063
mariadb,0.051327666826546194,900,61,104.76569948023386
mariadb,0.05161060001701116,800,62,100.55122940113583
mariadb,0.05343665000982582,1000,63,103.53812974895231
neo4j,0.0578216245980002,400,64,108.20593092450233
neo4j,0.06866524180513807,500,65,118.75356716890467
neo4j,0.08328532500308938,600,66,121.29182511210108
neo4j,0.09262210860033519,700,67,111.21059874221476
neo4j,0.11415740838856436,800,68,123.25071207475322
neo4j,0.1178222666028887,900,69,103.21035512811403
neo4j,0.12681854980764912,1000,70,107.63546947800768
cockroachdb,0.2153155415900983,700,71,169.7823716772319
cockroachdb,0.21569979980122297,600,72,100.17846283100928
cockroachdb,0.22919082540320232,200,73,106.2545378412089
cockroachdb,0.23587154160486534,500,74,102.91491432517424
cockroachdb,0.241073999798391,1000,75,102.20563199703034
cockroachdb,0.24214530820026994,400,76,100.44438985654813
cockroachdb,0.24566614999203013,900,77,101.45402024013129
cockroachdb,0.24641757479403167,100,78,100.30587234017628
cockroachdb,0.24736661699134857,300,79,100.38513575913169
cockroachdb,0.2511074165813625,800,80,101.51224916098714
